Study GUID,Reference,,,,,,,
CG66ST112,"110 Huang ES, Shook M, Jin L et al. The impact of patient preferences on the cost-effectiveness of intensive glucose control in older patients with new-onset diabetes. Diabetes Care 2006;29(2):259264.",,,,,,,
CG66ST113,"111 Johnson JA, Simpson SH, Toth EL et al. Reduced cardiovascular morbidity and mortality associated with metformin use in subjects with type 2 diabetes. Diabetic Medicine 2005;22(4):497502.",,,,,,,
CG66ST114,"112 Evans JMM, Ogston SA, EmslieSmith A et al. Risk of mortality and adverse cardiovascular outcomes in type 2 diabetes: A comparison of patients treated with sulfonylureas and metformin. Diabetologia 2006;49(5):930936.",,,,,,,
CG66ST115,"113 National Institute for Health and Clinical Excellence. Glitazones in the treatment of type 2 diabetes (Review of TA9 and TA21). (TA63). London: NICE, 2003.",,,,,,,
CG66ST116,114 European Medicines Agency. 2007. www.emea.europa.eu,,,,,,,
CG66ST117,"115 Nissen SE, Wolski K. Effect of rosiglitazone on the risk of myocardial infarction and death from cardiovascular causes. New England Journal of Medicine 2007;356(24):24572471.",,,,,,,
CG66ST118,"116 Home PD, Pocock SJ, Beck-Nielsen H et al. Rosiglitazone evaluated for cardiovascular outcomes  an interim analysis. New England Journal of Medicine 2007;357(1):2838.",,,,,,,
CG66ST119,"117  Lincoff AM, Wolski K, Nicholls SJ et al. Pioglitazone and risk of cardiovascular events in patients with type 2 diabetes mellitus: a meta-analysis of randomized trials. The Journal of the American Medical Association 2007;298(10):11801188.",,,,,,,
CG66ST120,"118 Diamond GA, Bax L, Kaul S. Uncertain effects of rosiglitazone on the risk for myocardial infarction and cardiovascular death. Annals of Internal Medicine 2007;147(8):578581.",,,,,,,
CG66ST121,"119 Singh S, Loke YK, Furberg CD. Long-term risk of cardiovascular events with rosiglitazone: a meta-analysis [see comment]. The Journal of the American Medical Association 2007;298(10):11891195.",,,,,,,
CG66ST122,"120 Lago RM, Singh PP, Nesto RW. Congestive heart failure and cardiovascular death in patients with prediabetes and type 2 diabetes given thiazolidinediones: a meta-analysis of randomised clinical trials. Lancet 2007;370(9593):11291136.",,,,,,,
CG66ST123,"121 GlaxoSmithKline. Coronary heart disease outcomes in patients receiving antidiabetic agents. Uxbridge, Middlesex: GlaxoSmithKline, 2008.",,,,,,,
CG66ST124,"122 Richter B, Bandeira-Echtler E, Bergerhoff K et al. Rosiglitazone for type 2 diabetes mellitus. Cochrane Database of Systematic Reviews 2007;(3):CD006063.",,,,,,,
CG66ST125,"123 Derosa G, Gaddi AV, Piccinni MN et al. Differential effect of glimepiride and rosiglitazone on metabolic control of type 2 diabetic patients treated with metformin: a randomized, double-blind, clinical trial. Diabetes, Obesity & Metabolism 2006;8(2):197205.",,,,,,,
CG66ST126,"124 Rosenstock J, Goldstein BJ, Vinik AI et al. Effect of early addition of rosiglitazone to sulphonylurea therapy in older type 2 diabetes patients (>60 years): the Rosiglitazone Early vs. SULphonylurea Titration (RESULT) study. Diabetes, Obesity & Metabolism 2006;8(1):4957.",,,,,,,
CG66ST127,"125 Raskin P, McGill J, Saad MF et al. Combination therapy for type 2 diabetes: repaglinide plus rosiglitazone. Diabetic Medicine 2004;21(4):329335.",,,,,,,
CG66ST128,"126 Bakris GL, Ruilope LM, McMorn SO et al. Rosiglitazone reduces microalbuminuria and blood pressure independently of glycemia in type 2 diabetes patients with microalbuminuria. Journal of Hypertension 2006;24(10):20472055.",,,,,,,
CG66ST129,"127 Vongthavaravat V, Wajchenberg BL, Waitman JN et al. An international study of the effects of rosiglitazone plus sulphonylurea in patients with type 2 diabetes. Current Medical Research & Opinion 2002;18(8):456461.",,,,,,,
CG66ST130,"128 St John SM, Rendell M, Dandona P et al. A comparison of the effects of rosiglitazone and glyburide on cardiovascular function and glycemic control in patients with type 2 diabetes. Diabetes Care 2002;25(11): 20582064.",,,,,,,
CG66ST131,"129 Hanefeld M, Patwardhan R, Jones NP et al. A one-year study comparing the efficacy and safety of rosiglitazone and glibenclamide in the treatment of type 2 diabetes. Nutrition Metabolism & Cardiovascular Diseases  2007;17(1):1323.",,,,,,,
CG66ST132,"130 Kerenyi Z, Samer H, James R et al. Combination therapy with rosiglitazone and glibenclamide compared with upward titration of glibenclamide alone in patients with type 2 diabetes mellitus. Diabetes Research & Clinical Practice 2004;63(3):213223.",,,,,,,
CG66ST133,"131 Derosa G, Gaddi AV, Piccinni MN et al. Antithrombotic effects of rosiglitazone-metformin versus glimepiride-metformin combination therapy in patients with type 2 diabetes mellitus and metabolic syndrome.  Pharmacotherapy  2005;25(5):637645.",,,,,,,
CG66ST134,"132 Baksi A, James RE, Zhou B et al. Comparison of uptitration of gliclazide with the addition of rosiglitazone to gliclazide  in patients  with type  2 diabetes  inadequately controlled  on half-maximal  doses of  a sulphonylurea. Acta Diabetologica 2004;41(2):6369.",,,,,,,
CG66ST135,"133 Derosa G, DAngelo A, Ragonesi PD et al. Metabolic effects of pioglitazone and rosiglitazone in patients with diabetes and metabolic syndrome treated with metformin. Internal Medicine Journal 2007;37(2): 7986.",,,,,,,
CG66ST136,"134 Rosenstock J, Rood J, Cobitz A et al. Initial treatment with rosiglitazone/metformin fixed-dose combination therapy compared with monotherapy with either rosiglitazone or metformin in patients with uncontrolled type 2 diabetes. Diabetes, Obesity & Metabolism 2006;8(6):650660.",,,,,,,
CG66ST137,"135 Stewart MW, Cirkel DT, Furuseth K et al. Effect of metformin plus roziglitazone compared with metformin alone on glycaemic control in well-controlled type 2 diabetes. Diabetic Medicine 2006;23(10): 10691078.",,,,,,,
CG66ST138,"136 Home PD, Jones NP, Pocock SJ et al. Rosiglitazone RECORD study: glucose control outcomes at 18 months. Diabetic Medicine 2007;24(6):626634.",,,,,,,
CG66ST139,"137 Raskin P, Rendell M, Riddle MC et al. A randomized trial of rosiglitazone therapy in patients with inadequately controlled insulin-treated type 2 diabetes. Diabetes Care 2001;24(7):12261232.",,,,,,,
CG66ST140,"138 Home PD, Bailey CJ, Donaldson J et al. A double-blind randomized study comparing the effects of continuing or not continuing rosiglitazone + metformin therapy when starting insulin therapy in people with type 2 diabetes. Diabetic Medicine 2007;24(6):618625.",,,,,,,
CG66ST141,"139 Rosenstock J, Sugimoto D, Strange P et al. Triple therapy in type 2 diabetes: insulin glargine or rosiglitazone added to combination therapy of sulfonylurea plus metformin in insulin-naive patients. Diabetes Care 2006;29(3):554559.",,,,,,,
CG66ST142,"140 Vinik AI, Zhang Q. Adding insulin glargine versus rosiglitazone: health-related quality-of-life impact in type 2 diabetes. Diabetes Care 2007;30(4):795800.",,,,,,,
CG66ST143,"141 Richter B, Bandeira-Echtler E, Bergerhoff K et al. Pioglitazone for type 2 diabetes mellitus. Cochrane Database of Systematic Reviews 2006;(4):CD006060.",,,,,,,
CG66ST144,142 Dormandy JA. PROactive study. Lancet 2006;367(9405):2627.,,,,,,,
CG66ST145,"143 Yudkin J.S., Freemantle N. PROactive study. Lancet 2006;367(3504):2425.",,,,,,,
CG66ST146,144 PROactive Study Executive Committee and Data and Safety Monitoring Committee. PROactive study. Lancet 2006;367(9515):982.,,,,,,,
CG66ST147,"145 Mattoo V, Eckland D, Widel M et al. Metabolic effects of pioglitazone in combination with insulin in patients with type 2 diabetes mellitus whose disease is not adequately controlled with insulin therapy: results of a six-month, randomized, double-blind, prospective, multicenter, parallel-group study. Clinical Therapeutics 2005;27(5):554567.",,,,,,,
CG66ST148,"146 Davidson JA, Perez A, Zhang J. Addition of pioglitazone to stable insulin therapy in patients with poorly controlled type 2 diabetes: results of a double-blind, multicentre, randomized study. Diabetes, Obesity & Metabolism 2006;8(2):164174.",,,,,,,
CG66ST149,"147 Raz I, Stranks S, Filipczak R et al. Efficacy and safety of biphasic insulin aspart 30 combined with pioglitazone in type 2 diabetes poorly controlled on glibenclamide (glyburide) monotherapy or combination therapy: an 18-week, randomized, open-label study. Clinical Therapeutics 2005;27(9):14321443.",,,,,,,
CG66ST150,"148 Charbonnel B, Schernthaner G, Brunetti P et al. Long-term efficacy and tolerability of add-on pioglitazone therapy to failing monotherapy compared with addition of gliclazide or metformin in patients with type 2 diabetes. Diabetologia 2005;48(6):10931104.",,,,,,,
CG66ST151,"149 Jain R, Osei K, Kupfer S et al. Long-term safety of pioglitazone versus glyburide in patients with recently diagnosed type 2 diabetes mellitus. Pharmacotherapy 2006;26(10):13881395.",,,,,,,
CG66ST152,"150 Erdmann E, Dormandy JA, Charbonnel B et al. The effect of pioglitazone on  recurrent  myocardial infarction in 2,445 patients with type 2 diabetes and previous myocardial infarction: results from the PROactive (PROactive 05) Study. Journal of the American College of Cardiology 2007;49(17):17721780.",,,,,,,
CG66ST153,"151 Mazzone T, Meyer PM, Feinstein SB et al. Effect of pioglitazone compared with glimepiride on carotid intima-media thickness in type 2 diabetes: a randomized trial. The Journal of the American Medical Association 2006;296(21):25722581.",,,,,,,
CG66ST154,"152 Wilcox R, Bousser MG, Betteridge DJ et al. effects of pioglitazone in patients with type 2 diabetes with or without previous stroke: results from PROactive (PROspective pioglitAzone Clinical Trial In macroVascular Events 04). Stroke 2007;38(3):865873.",,,,,,,
CG66ST155,"153 Berlie HD, Kalus JS, Jaber LA. Thiazolidinediones and the risk of edema: a meta-analysis. Diabetes Research & Clinical Practice 2007;76(2):279289.",,,,,,,
CG66ST156,"154 Czoski-Murray C, Warren E, Chilcott J et al. Clinical effectiveness and cost-effectiveness of pioglitazone and rosiglitazone in the treatment of type 2 diabetes: a systematic review and economic evaluation (structured abstract). Health Technology Assessment 2004;8(13)",,,,,,,
CG66ST157,"155 National Institute for Health and Clinical Excellence. Diabetes (type 2)  pioglitazone (replaced by TA63) (TA21). London: NICE, 2001.",,,,,,,
CG66ST158,"156 Beale S, Bagust A, Shearer AT et al. Cost-effectiveness of rosiglitazone combination therapy for the treatment of type 2 diabetes mellitus in the UK. Pharmacoeconomics 2006;24(Suppl 1):2134.",,,,,,,
CG66ST159,"157 Tilden DP, Mariz S, OBryanTear G et al. A lifetime modelled economic evaluation comparing pioglitazone and rosiglitazone for the treatment of type 2 diabetes mellitus in the UK. Pharmacoeconomics 2007;25(1):3954.",,,,,,,
CG66ST160,"158 Dormandy JA, Charbonnel B, Eckland DJ et al. Secondary prevention of macrovascular events in patients with type 2 diabetes in the PROactive Study (PROspective pioglitAzone Clinical Trial In macroVascular Events): a randomised controlled trial. Lancet 2005;366(9493):12791289.",,,,,,,
CG66ST161,"159 Buse JB, Henry RR, Han J et al. Effects of exenatide (exendin-4) on glycemic control over 30 weeks in sulfonylurea-treated patients with type 2 diabetes. Diabetes Care 2004;27(11):26282635.",,,,,,,
CG66ST162,"160 DeFronzo RA, Ratner RE, Han J et al. Effects of exenatide (exendin-4) on glycemic control and weight over",,,,,,,
CG66ST163,30 weeks in metformin-treated patients with type 2 diabetes. Diabetes Care 2005;28(5):10921100.,,,,,,,
CG66ST164,"161 Kendall DM, Riddle MC, Rosenstock J et al. Effects of exenatide (exendin-4) on glycemic control over 30 weeks in patients with type 2 diabetes treated with metformin and a sulfonylurea. Diabetes Care 2005;28(5):10831091.",,,,,,,
CG66ST165,"162 Blonde L, Klein EJ, Han J et al. Interim analysis of the effects of exenatide treatment on A1C, weight and cardiovascular risk factors over 82 weeks in 314 overweight patients with type 2 diabetes. Diabetes, Obesity & Metabolism 2006;8(4):436447.",,,,,,,
CG66ST166,"163 Poon T, Nelson P, Shen L et al. Exenatide improves glycemic control and reduces body weight in subjects with type 2 diabetes: a dose-ranging study. Diabetes Technology & Therapeutics 2005;7(3):467477.",,,,,,,
CG66ST167,"164 Heine RJ, Van Gaal LF, Johns D et al. Exenatide versus insulin glargine in patients with suboptimally controlled type 2 diabetes: a randomized trial. Annals of Internal Medicine 2005;143(8):559569.",,,,,,,
CG66ST168,"165 Secnik BK, Matza LS, Oglesby A et al. Patient-reported outcomes in a trial of exenatide and insulin glargine for the treatment of type 2 diabetes. Health & Quality of Life Outcomes 2006;4(80).",,,,,,,
CG66ST169,"166 Nauck MA, Duran S, Kim D et al. A comparison of twice-daily exenatide and biphasic insulin aspart in patients with type 2 diabetes who were suboptimally controlled with sulfonylurea and metformin: a non- inferiority study. Diabetologia 2007;50(2):259267.",,,,,,,
CG66ST170,"167 Zinman B, Hoogwerf BJ, Duran GS et al. The effect of adding exenatide to a thiazolidinedione in suboptimally controlled type 2 diabetes: a randomized trial. Annals of Internal Medicine 2007;146(7): 477485.",,,,,,,
CG66ST171,168 European Medicines Agency. EPARs for authorised medicinal products for human use. Available from: www.emea.europa.eu. Last accessed on: 19 January 2008.,,,,,,,
CG66ST172,"169 Ray JA, Boye KS, Yurgin N et al. Exenatide versus insulin glargine in patients with type 2 diabetes in the UK: a model of long-term clinical and cost outcomes. Current Medical Research & Opinion 2007;23(3): 609622.",,,,,,,
CG66ST173,"170 Goudswaard AN, Furlong NJ, Rutten GE et al. Insulin monotherapy versus combinations of insulin with oral hypoglycaemic agents in patients with type 2 diabetes mellitus. Cochrane Database of Systematic Reviews 2004;(4):CD003418.",,,,,,,
CG66ST174,171 Kokic SB. Lispro insulin and metformin versus other combination in the diabetes mellitus type 2 management after secondary oral antidiabetic drug failure. Collegium Antropologicum 2003;27(1):181187.,,,,,,,
CG66ST175,"172 Olsson PO, Lindstrom T. Combination-therapy with bedtime nph insulin and sulphonylureas gives similar glycaemic control but lower weight gain than insulin twice daily in patients with type 2 diabetes. Diabetes & Metabolism 2002;28(4:Pt 1):272277.",,,,,,,
CG66ST176,"173 Altuntas Y, Ozen B, Ozturk B et al. Comparison of additional metformin or NPH insulin to mealtime insulin lispro therapy with mealtime human insulin therapy in secondary OAD failure. Diabetes, Obesity & Metabolism 2003;5(6):371378.",,,,,,,
CG66ST177,"174 Kabadi MU, Kabadi UM. Efficacy of sulfonylureas with insulin in type 2 diabetes mellitus. Annals of Pharmacotherapy 2003;37(11):15721576.",,,,,,,
CG66ST178,"175 Zargar AH, Masoodi SR, Laway BA et al. Response of regimens of insulin therapy in type 2 diabetes mellitus subjects with secondary failure. Journal of the Association of Physicians of India 2002;50(5):641646.",,,,,,,
CG66ST179,"176 Douek IF, Allen SE, Ewings P et al. Continuing metformin when starting insulin in patients with type 2 diabetes: a double-blind randomized placebo-controlled trial. Diabetic Medicine 2005;22(5):634640.",,,,,,,
CG66ST180,"177 Goudswaard AN, Stolk RP, Zuithoff P et al. Starting insulin in type 2 diabetes: continue oral hypoglycemic agents? A randomized trial in primary care. Journal of Family Practice 2004;53(5):393399.",,,,,,,
CG66ST181,"178 Janka HU, Plewe G, Riddle MC et al. Comparison of basal insulin added to oral agents versus twice-daily premixed insulin as initial insulin therapy for type 2 diabetes. Diabetes Care 2005; 28(2):254259.",,,,,,,
CG66ST182,"179 Stehouwer MH, DeVries JH, Lumeij JA et al. Combined bedtime insulin  daytime sulphonylurea regimen compared with two different daily insulin regimens in type 2 diabetes: effects on HbA1c and  hypo- glycaemia rate  a randomised trial. Diabetes/Metabolism Research and Reviews 2003;19(2):148152.",,,,,,,
CG66ST183,"180 Lechleitner M, Roden M, Haehling E et al. Insulin glargine in combination with oral antidiabetic drugs as a cost-equivalent alternative to conventional insulin therapy in type 2 diabetes mellitus. Wiener Klinische Wochenschrift 2005;117(17):593598.",,,,,,,
CG66ST184,"181 Drummond M, OBrien B, Stoddart G, Torrance G. Methods for economic evaluation of health care programmes, 2nd edn. Oxford: Oxford University Press, 2003.",,,,,,,
CG66ST185,"182 Christiansen JS, Vaz JA, Metelko Z. Twice daily biphasic insulin aspart improves postprandial glycaemic control more effectively than twice daily NPH insulin, with low risk of hypoglycaemia, in patients with type 2 diabetes. Diabetes, Obesity & Metabolism 2003;5(6):446454.",,,,,,,
CG66ST186,"183 Kilo C, Mezitis N, Jain R et al. Starting patients with type 2 diabetes on insulin therapy using once-daily injections of biphasic insulin aspart 70/30, biphasic human insulin 70/30, or NPH insulin in combination with metformin. Journal of Diabetes & its Complications 2003;17(6):307313.",,,,,,,
CG66ST187,"184 Ceriello A, Del PS, Bue VJ et al. Premeal insulin lispro plus bedtime NPH or twice-daily NPH in patients with type 2 diabetes: acute postprandial and chronic effects on glycemic control and cardiovascular risk factors. Journal of Diabetes & its Complications 2007;21(1):2027.",,,,,,,
CG66ST188,"185 Siebenhofer A, Plank J, Berghold A et al. Short acting insulin analogues versus regular human insulin in patients with diabetes mellitus. Cochrane Database of Systematic Reviews 2006;(2):CD003287.",,,,,,,
CG66ST189,"186 Boehm BO, Home PD, Behrend C et al. Premixed insulin aspart 30 vs. premixed human insulin 30/70 twice daily: a randomized trial in type 1 and type 2 diabetic patients [erratum appears in Diabetic Medicine. 2002 Sep;19(9):797]. Diabetic Medicine 2002;19(5):393399.",,,,,,,
CG66ST190,"187 Boehm BO, Vaz JA, Brondsted L et al. Long-term efficacy and safety of biphasic insulin aspart in patients with type 2 diabetes. European Journal of Internal Medicine 2004;15(8):496502.",,,,,,,
CG66ST191,"188 Abrahamian H, Ludvik B, Schernthaner G et al. Improvement of glucose tolerance in type 2 diabetic patients: traditional vs. modern insulin regimens (results from the Austrian Biaspart Study). Hormone & Metabolic Research 2005;37(11):684689.",,,,,,,
CG66ST192,"189 Schernthaner G, Kopp HP, Ristic S et al. Metabolic control in patients with type 2 diabetes using Humalog Mix50 injected three times daily: crossover comparison with human insulin 30/70. Hormone & Metabolic Research 2004;36(3):188193.",,,,,,,
CG66ST193,"190 Ligthelm RJ, Mouritzen U, Lynggaard H et al. Biphasic insulin aspart given thrice daily is as efficacious as a basal-bolus insulin regimen with four daily injections: a randomised open-label parallel group four months comparison in patients with type 2 diabetes. Experimental & Clinical Endocrinology & Diabetes 2006;114(9):511519.",,,,,,,
CG66ST194,"191 Joshi SR, Kalra S, Badgandi M et al. Designer insulins regimens in clinical practice  pilot multicenter Indian study. Journal of the Association of Physicians of India 2005;53(Sept):775779.",,,,,,,
CG66ST195,"192 Davies M, Storms F, Shutler S. Initiation of Insulin Glargine in type 2 patients with suboptimal glycaemic control on twice-daily premix insulin: results from the AT.LANTUS trial. Diabetologia 2004;47(Suppl 1): 319.",,,,,,,
CG66ST196,"193 National Institute for Clinical Excellence. The clinical effectiveness and cost effectiveness of long acting insulin analogues for diabetes (TA53). London: NICE, 2002.",,,,,,,
CG66ST197,"194 Rosenstock J, Dailey G, Massi-Benedetti M et al. Reduced hypoglycemia risk with insulin glargine: a meta- analysis comparing insulin glargine with human NPH insulin in type 2 diabetes. Diabetes Care 2005; 28(4):950955.",,,,,,,
CG66ST198,"195 Horvath K, Jeitler K, Berghold A et al. Long-acting insulin analogues versus NPH insulin (human isophane insulin) for type 2 diabetes mellitus. Cochrane Database of Systematic Reviews 2007;(2):CD005613.",,,,,,,
CG66ST199,"196 Yki JH, Kauppinen MR, Tiikkainen M et al. Insulin glargine or NPH combined with metformin in type 2 diabetes: the LANMET study. Diabetologia 2006;49(3):442451.",,,,,,,
CG66ST200,"197 Herman WH, Ilag LL, Johnson SL et al. A clinical trial of continuous subcutaneous insulin infusion versus multiple daily injections in older adults with type 2 diabetes. Diabetes Care 2005;28(7):15681573.",,,,,,,
CG66ST201,"198 Raskin P, Allen E, Hollander P et al. Initiating insulin therapy in type 2 diabetes: a comparison of biphasic and basal insulin analogs. Diabetes Care 2005;28(2):260265.",,,,,,,
CG66ST202,"199 Eliaschewitz FG, Calvo C, Valbuena H et al. Therapy in type 2 diabetes: insulin glargine vs. NPH insulin both in combination with glimepiride. Archives of Medical Research 2006;37(4):495501.",,,,,,,
CG66ST203,200 Rosskamp R. Safety and efficacy of insulin glargine (HOE 901) versus NPH insulin in combination with oral treatment in type 2 diabetic patients. Diabetic Medicine 2003;20(7):545551.,,,,,,,
CG66ST204,"201 Malone JK, Kerr LF, Campaigne BN et al. Combined therapy with insulin lispro mix 75/25 plus metformin or insulin glargine plus metformin: a 16-week, randomized, open-label, crossover study in patients with type 2 diabetes beginning insulin therapy. Clinical Therapeutics 2004;26(12):20342044.",,,,,,,
CG66ST205,"202 Malone JK, Bai S, Campaigne BN et al. Twice-daily pre-mixed insulin rather than basal insulin therapy alone results in better overall glycaemic control in patients with type 2 diabetes. Diabetic Medicine 2005;22(4): 374381.",,,,,,,
CG66ST206,"203 Jacober SJ, Scism BJ, Zagar AJ. A comparison of intensive mixture therapy with basal insulin therapy in insulin-naive patients with type 2 diabetes receiving oral antidiabetes agents. Diabetes, Obesity & Metabolism 2006;8(4):448455.",,,,,,,
CG66ST207,"204 Kann PH, Wascher T, Zackova V et al. Starting insulin therapy in type 2 diabetes: twice-daily biphasic insulin aspart 30 plus metformin versus once-daily insulin glargine plus glimepiride. Experimental & Clinical Endocrinology & Diabetes 2006;114(9):527532.",,,,,,,
CG66ST208,"205 Kazda C, Hulstrunk H, Helsberg K et al. Prandial insulin substitution with insulin lispro or insulin lispro mid mixture vs. basal therapy with insulin glargine: a randomized controlled trial in patients with type 2 diabetes beginning insulin therapy. Journal of Diabetes & its Complications 2006;20(3):145152.",,,,,,,
CG66ST209,"206 Pan CY, Sinnassamy P, Chung KD et al. Insulin glargine versus NPH insulin therapy in Asian type 2 diabetes patients. Diabetes Research & Clinical Practice 2007;76(1):111118.",,,,,,,
CG66ST210,"207 Raskin PR, Hollander PA, Lewin A et al. Basal insulin or premix analogue therapy in type 2 diabetes patients. European Journal of Internal Medicine 2007;18(1):5662.",,,,,,,
CG66ST211,"208 Yokoyama H, Tada J, Kamikawa F et al. Efficacy of conversion from bedtime NPH insulin to morning insulin glargine in type 2 diabetic patients on basal-prandial insulin therapy. Diabetes Research & Clinical Practice 2006;73(1):3540.",,,,,,,
CG66ST212,"209 Standl E, Maxeiner S, Raptis S et al. Once-daily insulin glargine administration in the morning compared to bedtime in combination with morning glimepiride in patients with type 2 diabetes: an assessment of treatment flexibility. Hormone & Metabolic Research 2006;38(3):172177.",,,,,,,
CG66ST213,"210 Gerstein HC, Yale JF, Harris SB et al. A randomized trial of adding insulin glargine vs. avoidance of insulin in people with type 2 diabetes on either no oral glucose-lowering agents or submaximal doses of metformin and/or sulphonylureas. The Canadian INSIGHT (Implementing New Strategies with Insulin Glargine for Hyperglycaemia Treatment) Study. Diabetic Medicine 2006;23(7):736742.",,,,,,,
CG66ST214,"211 Fritsche A, Schweitzer MA, Haring HU et al. Glimepiride combined with morning insulin glargine, bedtime neutral protamine hagedorn insulin, or bedtime insulin glargine in patients with type 2 diabetes. A randomized, controlled trial. Annals of Internal Medicine 2003;138(12):952959.",,,,,,,
CG66ST215,"212 Massi BM, Humburg E, Dressler A et al. A one-year, randomised, multicentre trial comparing insulin glargine with NPH insulin in combination with oral agents in patients with type 2 diabetes. Hormone & Metabolic Research 2003;35(3):189196.",,,,,,,
CG66ST216,"213 Riddle MC, Rosenstock J, Gerich J et al. The treat-to-target trial: randomized addition of glargine or human NPH insulin to oral therapy of type 2 diabetic patients. Diabetes Care 2003;26(11):30803086.",,,,,,,
CG66ST217,"214 Rosenstock J, Schwartz SL, Clark CM Jr et al. Basal insulin therapy in type 2 diabetes: 28-week comparison of insulin glargine (HOE 901) and NPH insulin. Diabetes Care 2001;24(4):631636.",,,,,,,
CG66ST218,"215 Warren E, Weatherley-Jones E, Chilcott J et al. Systematic review and economic evaluation of a long- acting insulin analogue, insulin glargine. Health Technology Assessment 2004;8(45):iii, 157.",,,,,,,
CG66ST219,"216 McEwan P, Poole CD, Telow T et al. Evaluation of the cost-effectiveness of insulin glargine versus NPH insulin for the treatment of type 1 diabetes in the UK. Current Medical Research & Opinion 2007;23(1): S7S19.",,,,,,,
CG66ST220,"217 National Institute for Health and Clinical Excellence. The clinical effectiveness and cost effectiveness of insulin pump therapy (TA57). London: NICE, 2003.",,,,,,,
CG66ST221,"218 Little RR, Rohilfing CL, Wiedmeyer HM et al. The National Glycohaemoglobin Standardization Program (NGSP): a five-year progress report. Clinical Chemistry 2001;47:19851992.",,,,,,,
CG66ST222,"219 Coscelli C. Safety, efficacy, acceptability of a pre-filled insulin pen in diabetic patients over 60 years old. Diabetes Research & Clinical Practice 1995;28(3):173177.",,,,,,,
CG66ST223,"220 Fox C, McKinnon C, Wall A et al. Ability to handle, and patient preference for, insulin delivery devices in visually impaired patients with type 2 diabetes. Practical Diabetes International 2002;19(4):104107.",,,,,,,
CG66ST224,"221 Kadiri A, Chraibi A, Marouan F et al. Comparison of NovoPen 3 and syringes/vials in the acceptance of insulin therapy in NIDDM patients with secondary failure to oral hypoglycaemic agents. Diabetes Research & Clinical Practice 1998;41(1):1523.",,,,,,,
CG66ST225,"222 Korytkowski M, Bell D, Jacobsen C et al. A multicenter, randomized, open-label, comparative, two-period crossover trial of preference, efficacy, and safety profiles of a prefilled, disposable pen and conventional vial/syringe for insulin injection in patients with type 1 or 2 diabetes mellitus. Clinical Therapeutics 2003;25(11):28362848.",,,,,,,
CG66ST226,223 Shelmet J. Preference and resource utilization in elderly patients: InnoLet versus vial/syringe. Diabetes Research & Clinical Practice 2004;63(1):2735.,,,,,,,
CG66ST227,"224 Stockl K, Ory C, Vanderplas A et al. An evaluation of patient preference for an alternative insulin delivery system compared to standard vial and syringe. Current Medical Research & Opinion 2007;23(1):133146.",,,,,,,
CG66ST228,"225 Asakura T, Seino H. Assessment of dose selection attributes with audible notification in insulin pen devices. Diabetes Technology & Therapeutics 2005;7(4):620626.",,,,,,,
CG66ST229,"226 Turner R, Holman R, Stratton I et al. Tight blood pressure control and risk of macrovascular and microvascular complications in type 2 diabetes (UKPDS 38). British Medical Journal 1998;317:703713.",,,,,,,
CG66ST230,"227 Sibal L, Law HN, Gebbie J et al. Cardiovascular risk factors predicting the development of distal symmetrical polyneuropathy in people with type 1 diabetes: A 9-year follow-up study. Annals of the New York Academy of Sciences 2006;1084:304318.",,,,,,,
CG66ST231,"228 Pohl MA, Blumenthal S, Cordonnier DJ et al. Independent and additive impact of blood pressure control and angiotensin II receptor blockade on renal outcomes in the irbesartan diabetic nephropathy trial: clinical implications and limitations. Journal of the American Society of Nephrology 2005;16(10):30273037.",,,,,,,
CG66ST232,"229 Berl T, Hunsicker LG, Lewis JB et al. Impact of achieved blood pressure on cardiovascular outcomes in the Irbesartan Diabetic Nephropathy Trial. Journal of the American Society of Nephrology 2005;16(7):21702179.",,,,,,,
CG66ST233,"230 Matthews DR, Stratton IM, Aldington SJ et al. Risks of progression of retinopathy and vision loss related to tight blood pressure control in type 2 diabetes mellitus (UKPDS 69). Archives of Opthalmology 2004;122(11):16311640.",,,,,,,
CG66ST234,"231 Bakris GL, Weir MR, Shanifar S et al. Effects of blood pressure level on progression of diabetic nephropathy: results from the RENAAL study. Archives of Internal Medicine 2003;163(13):15551565.",,,,,,,
CG66ST235,"232 Estacio RO, Coll JR, Tran ZV et al. Effect of intensive blood pressure control with valsartan on urinary albumin excretion in normotensive patients with type 2 diabetes. American Journal of Hypertension 2006;19(12):12411248.",,,,,,,
CG66ST236,"233 Schrier RW, Estacio RO, Esler A et al. Effects of aggressive blood pressure control in normotensive type 2 diabetic patients on albuminuria, retinopathy and strokes. Kidney International 2002;61(3):10861097.",,,,,,,
CG66ST237,"234 Turnbull F, Neal B, Algert C et al. Effects of different blood pressure-lowering regimens on major cardiovascular events in individuals with and without diabetes mellitus: results of prospectively designed overviews of randomized trials. Archives of Internal Medicine 2005;165(12):14101419.",,,,,,,
CG66ST238,"235 Torffvit O, Agardh CD. A blood pressure cut-off level identified for renal failure, but not for macro- vascular complications in type 2 diabetes: a 10-year observation study. Hormone & Metabolic Research 2002;34(1):3235.",,,,,,,
CG66ST239,"236 Strippoli GF, Craig M, Craig JC. Antihypertensive agents for preventing diabetic kidney disease. Cochrane Database of Systematic Reviews 2005;(4):CD004136.",,,,,,,
