"Evidence statement GUID","Evidence statement","Evidence Category Code","Evidence statement subject","Set GUID"
"CG66ES73","The analysis completed on the IDNT data229 identified a decreased risk in CV mortality and
congestive heart failure (CHF) where the systolic blood pressure (SBP) decreased from >170 to
120–130 mmHg, with a 20 mmHg lower SBP being associated with a 39% reduction in both.
An achieved SBP =20 mmHg compared with >120 mmHg showed a greater risk of CV
mortality and CHF (see table 12.1). Level 1+","","Blood pressure lowering – targets and intervention levels","CG66S12"
"CG66ES74","A systematic review234 identified 27 trials which included 33,395 individuals with diabetes and
125,314 without. Overall the analysis suggest that patients with diabetes achieved greater
reductions in the risk of total major CV events and CV death with regimens targeting lower BP
goals* than those without diabetes (see table 12.2). Level 1+","","Blood pressure lowering – targets and intervention levels","CG66S12"
"CG66ES75","The observational study235 identified that baseline SBP was lower (141±19 mmHg) for those
with no complications compared with those who had an MI (154±20 mmHg), p<0.01. SBP was
also lower during the observation period for those with no complications (145±16 mmHg)
compared with those who had an MI (152±15 mmHg), p<0.05 and also those who had a stroke
(153±15 mmHg), p<0.001. This study also noted that DBP was lower at baseline for those with
no complications (84±9) compared with those who developed an MI (87±9 mmHg), p<0.05.
Level 2+","","Blood pressure lowering – targets and intervention levels","CG66S12"
"CG66ES76","Five studies228,231–233,235 were identified looking at several renal outcomes and their relation with BP control. On the whole, it could be ascertained that high BP levels (SBP and/or DBP) in patients with Type 2 diabetes were associated with a more rapid decline in renal function than in those with lower BP values.","","Blood pressure lowering – targets and intervention levels: renal outcomes","CG66S12"
"CG66ES77","The RENAAL study231 demonstrated that for SBP the baseline level of 160–179 mmHg or
=180 mmHg compared with less than 130 mmHg had a significantly greater risk of reaching the
primary endpoint (time to doubling of serum creatinine, end stage renal disease (ESRD) or
death), risk of ESRD or death and risk of ESRD alone. Kaplan-Meier curve also showed that for
those with a baseline SBP =140 compared with <140 mmHg there was a significantly higher risk
of reaching the primary endpoint and risk of ESRD alone. For achieved SBP those who had a SBP
of 140 to =180 mmHg compared with less than 130 mmHg had a significantly greater risk of
reaching the primary endpoint; for those with an achieved SBP of 140–159 mmHg compared
with less than 130 mmHg there was a significantly greater risk of ESRD or death and ESRD alone.
For achieved DBP those with a DBP from 90 to =100 mmHg compared with those with an
achieved DBP of <70 mmHg had a significantly greater risk of reaching the primary endpoint
(time to doubling of serum creatinine, ESRD or death), risk of ESRD or death and risk of ESRD
alone231 (see table 12.3.1). Level 1+","","Blood pressure lowering – targets and intervention levels: renal outcomes","CG66S12"
"CG66ES78","The two studies which used intensive and moderate control groups showed significant
differences between the groups only for adjusted log urinary albumin excretion rate (UAER)
findings.232,233 Level 1+","","Blood pressure lowering – targets and intervention levels: renal outcomes","CG66S12"
"CG66ES79","The further analysis from the IDNT study identified that baseline BP correlated significantly with
doubling SCr or ESRD and that 36% of those with baseline SBP >170 mmHg compared with 18%
for those with baseline SBP <145 mmHg reached renal endpoint. Following correction for
estimated glomerular filtration rate (eGFR) and albumin:creatinine ratio (ACR) each 20 mmHg
decrease in SBP was associated with a 30% reduction in the risk of a renal event. Though it should
be noted that while there was an increasing risk for reaching a renal endpoint with seated SBP,
those with SBP <120 mmHg were not substantially better than those between 120–130 mmHg.228
Level 1+","","Blood pressure lowering – targets and intervention levels: renal outcomes","CG66S12"
"CG66ES80","The 10 year observational study identified that baseline SBP and DBP were significantly lower
for those with no complications than those who developed renal failure, SBP was also lower for
this during the observation period. A BP cut-off of >140 mmHg showed a NSx38.5 increase in
the risk of renal failure.235 Level 2+","","Blood pressure lowering – targets and intervention levels: renal outcomes","CG66S12"
"CG66ES81","The intensive (118±10.9/75±5.7) and moderate (124±10.9/80±6.5) groups found NS difference
between the groups for progression or regression of retinopathy.232 Level 1+
The other study which considered intensive (128±0.8/75±0.3) and moderate (137±0.7/81±0.3)
groups identified less progression of retinopathy with the intensive group compared with the
moderate group at both 2 years (13 vs 21%, p=0.046) and 5 years (34 vs 46%, p=0.019).233
Level 1+","","Blood pressure lowering – targets and intervention levels: retinopathy outcomes","CG66S12"
"CG66ES82","The analysis completed on the data from the UKPDS study on retinopathy is detailed in the
table 12.4.230 This considered the impact of tight blood pressure control (TBP) aiming for a BP
less than 150/85 and less tight blood pressure control (LTBP) aiming for a BP of 180/105 or less.
The TBP group had significantly lower microaneurysms, hard exudates and cotton wool spots
than the LTBP group. This TBP group also had less retinopathy grading by the Early Treatment
of Diabetic Retinopathy Study (ETDRS) grading and lower absolute risk events per 1,000
patient years for photocoagulation and blindness in one eye. Level 1+","","Blood pressure lowering – targets and intervention levels: retinopathy outcomes","CG66S12"
"CG66ES83","The intensive (118±10.9/75±5.7) and moderate (124±10.9/80±6.5) groups found NS difference
between the groups for progression or regression of nephropathy.232 Level 1+","","Blood pressure lowering – targets and intervention levels: nephropathy outcomes","CG66S12"
"CG66ES84","The other study which considered intensive (128±0.8/75±0.3) and moderate (137±0.7/81±0.3)
groups identified NS difference between the groups for progression of nephropathy.233 Level 1+","","Blood pressure lowering – targets and intervention levels: nephropathy outcomes","CG66S12"
"CG66ES85","A systematic review showed that for the outcome stroke, there was no evidence of differences
in the effects of the treatment regimens between patients with and without diabetes except in
the comparison that included A2RB-based regimens. In this comparison, A2RB provided lesser
protection to patients with diabetes compared with those without diabetes (see table 12.5.1).234","","Blood pressure lowering medications","CG66S12"
"CG66ES86","For the outcomes coronary heart disease (CHD) and heart failure, the review did not show
differences between patients with and without diabetes for any comparison, again except for the
comparison that included A2RB. Diabetic patients treated with A2RB experienced a
significantly greater protection compared to those without diabetes for the outcome heart
failure.234","","Blood pressure lowering medications","CG66S12"
"CG66ES87","According to their review, there was also some evidence of a difference between the two patient
groups in protection against CV death and total mortality favouring patients with diabetes in
the comparison of ACEI-based regimens vs placebo (see table 12.5.1).234","","Blood pressure lowering medications","CG66S12"
"CG66ES88","Finally, the review did not report significant differences between different BP lowering regimens
(i.e. head-to-head comparisons) in terms of stroke, CHD, heart failure in patients with diabetes.
The exception being CCBs, which were associated with a higher risk of heart failure when they
were compared with diuretics or beta-blockers,234 (see tables 12.6.1–12.6.3 for outcomes). In the
same way, no differences were seen in the head-to-head comparisons for total major CV events,
CV deaths, and total mortality in patients with diabetes.","","Blood pressure lowering medications","CG66S12"
"CG66ES89","Overall, the evidence appraised showed no significant differences in terms of CV outcomes
when treatment with ACEI was compared with other antihypertensive therapies or with
placebo. ACEI also failed to demonstrate superiority over other agents on the basis of BP
lowering power (unless combination therapy is compared with monotherapy). However, the
evidence suggested that treatment with ACEI is related to greater benefits in terms of renal
outcomes in patients with Type 2 diabetes as compared with other BP lowering agents.","","Blood pressure lowering medications - ACEI","CG66S12"
"CG66ES90","The Cochrane review on antihypertensives for preventing diabetic kidney disease found NS
difference for ACEI vs placebo (three trials, N=2,683) and for ACEI vs CCBs (six trials,
N=1,286).236 These findings were supported by the Cochrane review on ACEI and A2RB for
preventing the progression of diabetic kidney disease for ACEI vs placebo (21 trials, N=7,295)*
and ACEI vs A2RB (five studies, N=3,409).237 Level 1++","","Blood pressure lowering medications - ACEI","CG66S12"
"CG66ES91","The diabetes ALLHAT analysis showed NS difference between the treatments for the incidence
of total mortality.247 Level 1+","","Blood pressure lowering medications - ACEI","CG66S12"
"CG66ES92","The extension phase of the HOPE study showed a NS trend towards reduction in major CV
events and risk of MI, with ramipril, stroke and CV death as NS. At follow-up of the study and
extension there was a significant risk reduction with ramipril for the outcomes of MI, stroke
and CV death.241 Level 1+","","Blood pressure lowering medications - ACEI","CG66S12"
"CG66ES93","The diabetes analysis of ALLHAT identified NS difference in the incidence of fatal CHD and
non-fatal MI for lisinopril vs chlorthiadone in any of the three glycaemic strata that were
analysed diabetes mellitus, impaired fasting glucose and normoglycaemia. This was also evident
for diabetes mellitus and normoglycaemia for amlodipine vs chlorthalidone.247 Level 1+","","Blood pressure lowering medications - ACEI","CG66S12"
"CG66ES94","BP reduction with all hypertensive treatments was a consistent feature of the studies and
therefore only studies where there were significant differences between the treatments will be
highlighted.","","Blood pressure lowering medications - ACEI","CG66S12"
"CG66ES95","At the 52-week follow-up point, the combination of lisinopril and telmisartan showed significantly
greater reductions in both SBP and DBP than the individual monotherapies (p=0.003 for both
SBP and DBP).243 Level 1+","","Blood pressure lowering medications - ACEI","CG66S12"
"CG66ES96","Similarly, the combination of amlodipine and fosinopril showed a reduction in sitting BP of
28.7/17.1 compared with 17.2/11.8 (fosinopril, p<0.01) and 19.9/12.8 (amlodipine, p<0.01).245
Level 1+","","Blood pressure lowering medications - ACEI","CG66S12"
"CG66ES97","The study which compared verapamill + trandopril with atenolol + chlorthalidone identified
that while both treatments significantly reduced BP that comparison between the groups
showed a difference of 4.85 mmHg SBP (1.94 to 7.76, p=0.0011) and 1.79 mmHg DBP (0.26 to
3.32, p=0.0222) favouring atenolol + chlorthalidone.249 Level 1++","","Blood pressure lowering medications - ACEI","CG66S12"
"CG66ES98","A post hoc analysis of the BENEDICT246 study considered the impact on BP control and ACEI therapy on new-onset microalbumuniuria. Baseline SBP, DBP, mean arterial pressure (MAP) and pulse pressure did not predict the onset of microalbuminuria. Participants who developed microalbuminuria had significantly lower reductions in SBP than those who did not develop microalbuminuria (7.9±11.5 vs 10.6±11.9, p<0.05). This study also identified that those with followupBP below the medians or with BP reduction above the medians were more frequently on ACEtherapy (particularly trandopirl + verapamil) and less frequently on concomitant treatment withdiuretics, beta-blockers or CCBs.246 Level 1+","","Blood pressure lowering medications - ACEI","CG66S12"
"CG66ES99","The Cochrane review, ACEI and A2RB antagonists for preventing the progression of diabetic kidney disease, identified ACE compared with placebo reduced the progression from micro- to macroalbuminuria, increased the regression from micro- to normoalbuminuria, and reduced the risk of ESRD.237","","Blood pressure lowering medications - ACEI","CG66S12"
"CG66ES100","The Cochrane review, antihypertensive agents for preventing diabetic kidney disease, identified
that ACEI compared with placebo/no treatment reduced the development of microalbuminuria,
and ACEI compared with CCB reduced the risk of developing kidney disease.236","","Blood pressure lowering medications - ACEI","CG66S12"
"CG66ES101","The meta-analysis identified that an ACEI or A2RB compared with other treatments only
showed significant reduction in UAER.238","","Blood pressure lowering medications - ACEI","CG66S12"
"CG66ES102","The HOPE study identified that ramipril compared with placebo reduced the risk of new
microalbuminuria and that both new microalbuminuria and progression of proteinuria was
higher for the diabetic group than the non-diabetic group.240","","Blood pressure lowering medications - ACEI","CG66S12"
"CG66ES103","The combination of lisinopril and telmisartan identified higher reduction with AER compared
with the monotherapies.243","","Blood pressure lowering medications - ACEI","CG66S12"
"CG66ES104","The combination of fosinopril + amlodipine reduced UAE compared with amlodipine monotherapy (all time points) and with fosinopril monotherapy (after 18 months).245","","Blood pressure lowering medications - ACEI","CG66S12"
"CG66ES105","The extended HOPE trial identified that at the end of the extension phase there was a significant
further reduction in risk for diabetes for ramipril vs placebo (2.7% vs 4.0%, RR 0.66, 0.46 to
0.95).241 Level 1+","","Blood pressure lowering medications - ACEI","CG66S12"
"CG66ES106","The study which considered fosinopril and amlodipine monotherapy, and in combination, found that HbA1c was NS changed by any treatments and body weight remained unchanged.245
Level 1+","","Blood pressure lowering medications - ACEI","CG66S12"
"CG66ES107","The study which compared verapamil SR + trandopril and atenolol + chlorthalidone found that HbA1c remained stable with verapamilSR + trandopril but increased with atenolol +
chlorthalidone 7.8 (1.26) at baseline and 8.6 (1.77) at last visit, treatment difference, p=0.0001; fasting glucose and fructosamine treatment difference, p=0.0001.249 Similarly, fasting glucose and fructosamine remained stable with verapamil SR + trandopril but increased with atenolol + chlorthalidone, treatment difference p=0.0001.249 Level 1++","","Blood pressure lowering medications - ACEI","CG66S12"
"CG66ES108","The study which considered verapamil + trandopril vs enalapril + hydrochlorothiazide identified
that HbA1c remained stable with verapamil + trandopril but increased with enalapril +
hydrochlorothiazide (baseline 5.96±1.25% to final 6.41±1.51%), difference between groups,
p=0.040.248 Crude blood glucose changes were 23±69 mg/dl for verapamil + trandopril (16.8%
reduction) and 1±32 mg/dl (0.8% reduction) with enalapril + hydrochlorothiazide. The
percentage of participants with glycaemic control (<126 mg/dl) increased from 50% to 72% with
verapamil + trandopril, but did not change with enalapril + hydrochlorothiazide.248 Level 1++","","Blood pressure lowering medications - ACEI","CG66S12"
"CG66ES109","Both Cochrane reviews identified an increased risk of cough with ACE vs placebo/no treatment
(four trials, N=3,725, RR 1.79, 1.19 to 2.69),236 (10 trials, N=7,087, RR 3.17, 2.29 to 4.38).237
Level 1++","","Blood pressure lowering medications - ACEI","CG66S12"
"CG66ES110","Throughout the other studies the incidence of discontinuation due to AEs was small and the AEs
reported were mainly; progression of diabetes, unsatisfactory therapeutic response, hypotension,
ankle oedema, tachycardia, headache, cough, nausea, stomach upset, respiratory infection, and
dizziness. Level 1+","","Blood pressure lowering medications - ACEI","CG66S12"
"CG66HES09","Ramipril was found to be cost-effective compared to placebo, £2,971/LYG, Beard et al. (2001),263
and €2,486/LYG, Schadlich et al. (2004),264 (£1,699/LYG, exchange rate 0.68, 13 March 2007).271","","Blood pressure lowering medications - ACEI health economics","CG66S12"
"CG66HES10","No statistically significant difference was found between captopril and atenolol. Atenolol had
significantly lower mean costs.265","","Blood pressure lowering medications - ACEI health economics","CG66S12"
"CG66ES111","In summary, A2RB therapy was associated with greater benefits for Type 2 diabetes patients in terms of renal outcomes (e.g. progression to ESRD, doubling of serum creatinine, proteinuria) than treatment with placebo, CCB or sympatholytic agents. In addition, treatment with A2RB was also associated with a better metabolic and BP profile than sympatholytic therapy but nonsignificant differences were observed over those treated with CCB.","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES112","A Cochrane review237 did not find a statistically significant reduction in the risk of all-cause
mortality in the five studies (3,409 patients) of A2RB vs placebo/no treatment. RR 0.99, 95% CI
0.85 to 1.17. Level 1++","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES113","A post hoc analysis254 compared the incidence of hospitalisation for heart failure within three tertiles of baseline serum creatinine concentration (highest, 2.1 to 3.6 mg/dl; middle, 1.6 to
2.0 mg/dl; lowest, 0.9 to 1.6 mg/dl). The study reported that the crude incidence of first hospitalisations for heart failure was higher in the highest (16.4%) and middle (15.0%) tertiles
than in the lowest (11.1%) tertile (trend test across tertiles, p=0.02). The study concluded that losartan decreased the hospitalisations for heart failure by 50.2 and 45.1, in the highest and middle tertile, respectively but was associated with a non-significant increased risk (42.5%) of hospitalisations in the lowest tertile. Level 1+","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES114","A Cochrane review237 found a significant reduction in the risk of ESRD with A2RB compared
to placebo/no treatment (three studies, N=3,251): RR 0.78, 95% CI 0.67 to 0.91. Level 1++","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES115","A post hoc analysis254 compared the incidence of ESRD within three tertiles of baseline serum creatinine concentration (highest, 2.1 to 3.6 mg/dl; middle, 1.6 to 2.0 mg/dl; lowest, 0.9 to 1.6 mg/dl). The study reported that the observed crude incidence of ESRD was significantly higher in the highest (40.5%) and middle (19.3%) tertiles as compared with the lowest (7.3%) tertile (trend test across tertiles, p<0.0001).
The study concluded that losartan decreased the risk of ESRD by 24.6, 26.3, and 35.3% in highest, middle, and lowest tertiles respectively. Level 1+","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES116","A Cochrane review237 found a significant reduction in the risk of doubling of serum creatinine
concentration with A2RB compared to placebo/no treatment (3 studies, 3,251 patients):
RR 0.79 95% CI 0.67 to 0.93. Level 1++","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES117","A Cochrane review237 showed that the use of A2RB versus placebo/no treatment was also
associated with a significant reduction in the risk of progression from micro- to
macroalbuminuria (three studies, 761 patients); RR 0.45, 95% CI 0.32 to 0.75. Level 1++","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES118","A Cochrane review237 found a significant increase in regression from micro- to normoalbuminuria
with A2RB versus placebo/no treatment (16 studies, 1,910 patients) RR 1.42, 95%
CI 1.05 to 1.93. Level 1++","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES119","A post hoc analysis254 compared the median proteinuria reduction (%) within three tertiles of
baseline serum creatinine concentration (highest, 2.1 to 3.6 mg/dl; middle, 1.6 to 2.0 mg/dl;
lowest, 0.9 to 1.6 mg/dl). The study showed a significantly (p<0.0001) greater median
percentage proteinuria reduction (versus baseline) on losartan than on placebo in the highest
(24 vs –8%), middle (16 vs –8%), and lowest (15 vs –10%) tertiles respectively. Level 1+","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES120","A post hoc analysis of the IRMA study255 reported that after 2 years of follow-up UAER decreased by 34% (95% CI 8 to 53), and 60% (95% CI 46 to 70) in the irbesartan 150 mg and irbesartan 300 mg groups respectively (p<0.05 vs baseline). No significant reductions in UAER were found in patients receiving placebo. One month after withdrawal of irbesartan therapy, the same post hoc analysis255 found no significant increases in UAER in patients receiving placebo or irbesartan 150 mg when compared with baseline values. However, the study reported that UAER remained persistently reduced by 47% (95% CI 24 to 63) in the irbesartan 300 mg group (p<0.05 vs baseline). This persistent reduction in the irbesartan 300 mg group, as compared with baseline, was highly significantly different from irbesartan 150 mg (p<0.01). This difference occurred although the regain in GFR
between the two irbesartan groups were nearly identical. Level 1+","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES121","A post hoc analysis of the IRMA study255 found that after 2 years of treatment there were no
significant differences in mean arterial blood pressure between patients treated with placebo or
irbesartan (150 or 300 mg). However, 1 month after withdrawal of irbesartan therapy mean
arterial blood pressure was unchanged in the placebo group, but increased significantly in the
irbesartan groups to 109±2 and 108±2 in the 150 mg and 300 mg groups respectively (p<0.01).
Level 1+","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES122","A post hoc analysis of the RENAAL study253 found no significant differences between patients
treated with losartan or placebo in terms of glycaemic levels, lipid profile or serum uric acid
after 3.4 years of follow-up. Level 1+","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES123","A Cochrane review237 found a significant increase in the risk of hyperkalaemia with A2RB
compared to placebo/no treatment (two studies, 194 patients); RR 4.93, 95% CI 1.87 to 15.65.
A2RB were not found to be associated with an increased risk of cough compared to placebo/no
treatment. Level 1++","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES124","One RCT257 with a follow-up of 2.6 years, found that treatment with irbesartan significantly
reduced the risk of doubling serum creatinine concentration, development of ESRD, or death
from any cause, by 23% compared to the amlodipine therapy (p=0.006). Level 1++","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES125","When individual endpoints were analyzed the RCT257 reported:
A significantly lower risk of a doubling in the serum creatinine concentration in patients
receiving irbesartan compared to amlodipine-treated patients (37% lower in the irbesartan
group than in the amlodipine group, p< 0.001). Non-significant differences in terms of progression to ESRD between irbesartan-treated patients and those receiving amlodipine (risk 23% lower in the irbesartan group p=0.07).
Non-significant difference in the rates of death from any cause between patients treated with
irbesartan and those treated with amlodipine. Level 1++","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES126","The same study257 did not find a significant benefit associated with irbesartan as compared
with amlodipine in reducing the secondary composite endpoint of death from CV causes, nonfatal
MI, heart failure resulting in hospitalisation, a permanent neurologic deficit caused by a
cerebrovascular event, or lower limb amputation above the ankle. Level 1++","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES127","An RCT258 comparing therapy with valsartan and amlodipine reported results for a prespecified
subgroup of Type 2 diabetes patients and found non-significant differences between
the two treatment arms for the primary composite cardiac outcome which looked at cardiac
mortality and morbidity.* Level 1+","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES128","Another RCT252 which also compared treatment with valsartan and amlodipine, found that
after 24 weeks there was a significant reduction in UAER in patients receiving valsartan as
compared with those treated with amlodipine (p<0.001; 95% CI for ratio, 0.520 to 0.710). The
UAER at 24 weeks with valsartan was 56% (95% CI, 49.6 to 63.0) of baseline, equivalent to a
44% reduction. The UAER for amlodipine at week 24 was 92% (95% CI, 81.7 to 103.7) of
baseline, a reduction of only 8%. Level 1++","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES129","The same RCT252 showed a significantly greater percentage of patients returning to normoalbuminuria status by week 24 with valsartan (29.9%) than with amlodipine (14.5%). Treatment difference 15.4% 95% CI, 5.6 to 25.8, p<0.001. Level 1++","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES130","One RCT257 did not find significant differences in mean arterial pressure in patients treated with irbesartan and amlodipine after 2.6 years of follow-up. Level 1++","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES131","One RCT251 reported that at 12 months there were no significant changes from baseline in HbA1c, FPG, BMI, triglycerides and high-density lipoprotein cholesterol (HDL-C) in patients treated with telmisartan or nifedipine gastrointestinal therapeutic system (nifedipine GITS) and there were no  significant differences in any of these parameters between treatments. Level 1+","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES132","The same RCT251 showed that reduction in total cholesterol and low-density lipoprotein with telmisartan were significantly greater than those with nifedipine GITS (p<0.05). Level 1+","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES133","One RCT257 reported that the incidence of hyperkalaemia (necessitating discontinuation of the study medication) was significantly higher in patients receiving irbesartan as compared to those receiving amlodipine. Level 1++","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES134","One RCT252 found that ankle oedema occurred significantly less frequently in valsartan-treated patients compared to those treated with amlodipine (1.2% vs 7.4% difference –6.2% 95% CI –12.9% to –0.4%, p<0.006). Level 1+","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES135","One RCT256 with a follow-up of 4.7 years found that treatment with losartan significantly reduced the risk of CV death, stroke, or MI compared to atenolol therapy. RR 0.76 (95% CI 0.58 to 0.98), p=0.031. Level 1++","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES136","When individual endpoints were analysed the RCT256 reported: a statistically significant reduction in the risk of all-cause mortality in losartan-treated patients compared to those receiving atenolol. RR 0.61 (95% CI 0.45 to 0.84), p=0.002  a statistically significant reduction in the risk of CV death favouring the losartan group RR 0.63 (95% CI 0.42 to 0.95), p= 0.028  non-significant difference in the incidence of stroke or MI between patients treated with losartan and those treated with atenolol.","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES137","One RCT250 found that after 12 months, patients treated with irbesartan had significantly lower SBP and DBP levels as compared to those receiving doxazosin, (p<0.05). Level 1+","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES138","One RCT250 found significantly lower HbA1c levels in doxazosin-treated patients as compared to patients receiving irbesartan after 12 months of follow-up. Level 1+","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES139","The same RCT250 found that patients treated with doxazosin had significantly higher levels of HDL-C as compared to those treated with irbesartan (p<0.05). Level 1+","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES140","One RCT256 showed that albuminuria was reported less frequently (p=0.002) as an AE in the losartan than in the atenolol group (losartan 7% vs atenolol 13%). Level 1++","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66ES141","The same RCT256 found that chest pain was more frequently reported in the losartan arm (p=0.036) (losartan 2% vs atenolol 8%). Level 1++","","Blood pressure lowering medications - A2RB","CG66S12"
"CG66HES11","Irbesartan was found to be both more effective and cost saving than amlodipine and standard antihypertensive treatment. Palmer et al. (2004),266 Rodby et al. (2003),267 and Coyle et al.
(2004).268","","Blood pressure lowering medications - A2RB health economics","CG66S12"
"CG66HES12","Losartan was found to be both more effective and cost saving than standard antihypertensive
treatment, Vora et al. (2005).269","","Blood pressure lowering medications - A2RB health economics","CG66S12"
"CG66HES13","Valsartan was found to be both more effective and cost saving compared to amlodipine, Smith
et al. (2004).270","","Blood pressure lowering medications - A2RB health economics","CG66S12"
"CG66ES142","The evidence appraised suggested that treatment with beta-blockers in patients with Type 2 diabetes failed to demonstrate a better CV profile when compared with CCB therapy. Furthermore a landmark RCT showed a significant reduction in the incidence of CV outcomes in patients receiving CCB as compared with those treated with beta-blockers. In terms of BP173 12 Blood pressure therapy * BP reduction with all hypertensive treatments was a consistent feature of the studies and therefore only studies where there were significant differences between the treatments will be highlighted. control, the evidence did not demonstrate differences between beta-blocker therapy and other antihypertensives.","","Blood pressure lowering medications - Beta blockers","CG66S12"
"CG66ES143","All reported CV outcomes were for beta-blockers vs CCBs. For the study considering COER verapamil and atenolol or hydrochlorothiazide there was NS difference between the groups for both the composite of acute MI, stroke or CV related death and also for the incidence of any component of the composite in the diabetic subgroup.261 Level 1+","","Blood pressure lowering medications - Beta blockers","CG66S12"
"CG66ES144","The ASCOT-BPLA study found that for the diabetes subgroup for total CV events and
procedures there was significantly lower occurrence with the amlodipine based group vs the
atenolol based group (HR 0.87, 0.76 to 0.99, p=0.0283), this was also found for the nondiabetic
study participants.262 Level 1++","","Blood pressure lowering medications - Beta blockers","CG66S12"
"CG66ES145","The INVEST study found NS difference in the treatments (verapamilvSR and atenolol) for
death or first occurrence of non-fatal MI or non-fatal stroke in both the diabetic and nondiabetic
groups.259 Level 1+","","Blood pressure lowering medications - Beta blockers","CG66S12"
"CG66ES146","Within all the papers included that reported BP outcomes the treatments reduced BP and there
was NS difference found between the treatment groups.260–262","","Blood pressure lowering medications - Beta blockers","CG66S12"
"CG66ES147","Only the study comparing two beta-blockers reported on renal outcomes. The study considering carvedilol and metoprolol found that carvedilol reduced the albumin:creatinine ratio vs metoprolol (relative reduction 16%, p=0.003).260 This study also identified those with albuminuria of 30 mg or less at baseline, fewer in the carvedilol group vs the metoprolol group progressed to microalbuminuria (6.4%, 25/388 vs 10.3%, 56/542), or from carvedilol vs metoprolol, 0.60, 0.36 to 0.97, p=0.04).260 Level 1++","","Blood pressure lowering medications - Beta blockers","CG66S12"
"CG66ES148","Only the study comparing two beta-blockers reported on metabolic outcomes. The study considering carvedilol and metoprolol found that carvedilol treatment had no HbA1c changes from baseline while metoprolol increased HbA1c. The mean difference was 0.12%, p=0.006. More participants withdrew due to worsening glycaemic control with metoprolol (16/737, 2.2%) than with carvedilol (3/498, 0.6%), p=0.04.260 Level 1++","","Blood pressure lowering medications - Beta blockers","CG66S12"
"CG66ES149","The study comparing COER verapamil with atenolol or hydrochlorothiazide261 reported that participants assigned COER verapamil withdrew more often due to adverse signs or symptoms compared with those assigned atenolol of hydrochlorothiazide (p=0.02); the most common reason was constipation (216 in the COER verapamil compared with 28 in the atenolol of hydrochlorothiazide group). However, fewer participants assigned COER verapamil (N=115) atenolol of hydrochlorothiazide withdrew because of poor BP control compared with those  assigned atenolol of hydrochlorothiazide (N=207) (p<0.001 by log-rank). Level 1+","","Blood pressure lowering medications - Beta blockers","CG66S12"
"CG66ES150","The INVEST study259 showed that verapamil and atenolol were generally well tolerated in each
treatment group. Patients in the verapamil group reported constipation and coughs more
frequently than patients in the atenolol group, while atenolol-treated patients had more
dyspnoea, lightheadedness, symptomatic bradycardia, and wheezing. Level 1+","","Blood pressure lowering medications - Beta blockers","CG66S12"
"CG66ES151","The RCT comparing carvedilol with metoprolol did not report significant differences between
groups in overall safety profile. However, the study stated that no participant taking carvedilol had
a respiratory event in contrast with seven events in six participants taking metoprolol. Level 1+","","Blood pressure lowering medications - Beta blockers","CG66S12"
"CG66ES152","The ASCOT-BPLA study concluded that the most frequent AEs found in the amlodipine based
group were peripheral oedema 23%; cough 19%; joint swelling 14%; dizziness 12%; chest pain
8%; fatigue 8%. In the atenolol based group the most frequent AEs were dizziness 16%; fatigue
16%; dyspnoea 9%; cough 8%; erectile dysfunction 7%. Level 1+","","Blood pressure lowering medications - Beta blockers","CG66S12"
"CG66ES153","One observational study was identified assessing the prognostic value of these two methods in a cohort of patients newly diagnosed with Type 2 diabetes.277 In addition the sensitivity and
specificity of both models at a 15%, 10-year CHD risk threshold (NICE guidelines) was compared with that of the ADA lipid threshold (LDL =2.6 mmol/l or TG =4.5 mmol/l). Level 2++","","UKPDS risk engine vs Framingham equation 
","CG66S13"
