"Set GUID","Topic","Sub Topic","Set rationale","Set discussion"
"CG66S14","Management of blood lipid levels","Management of blood lipid levels","Nearly all people with Type 2 diabetes are at high cardiovascular (CV) risk. Epidemiologicallythat excess risk is independently associated with their hyperglycaemia together with high blood pressure (BP) and dyslipidaemia, the last typically the low high-density lipoprotein cholesterol (HDL-C) and raised triglyceride (TG) levels found as components of the metabolic syndrome.280 Studies have suggested that people with Type 2 diabetes without declared cardiovascular disease (CVD) are at as high a risk of a CVD event as someone without diabetes with declared CVD.273 While this is disputed by other studies, it still leaves individuals with Type 2 diabetes as nearly always in the high CVD risk category, and accordingly it has been usual to manage them actively as if for secondary rather than primary prevention of CVD. Nevertheless, in a few people with Type 2 diabetes the clinical phenotype is not that associated with high CV risk, albeit these people being generally remarkable for not being overweight nor having features of the metabolic syndrome, and being insulin sensitive. More importantly people with Type 2 diabetes who have declared CVD are at much higher risk (>1.5–2.6) of further events or CV death as people with CVD without diabetes.273 Such extreme risk would appear to justify more intensive management than usually offered to someone who has, for example, had a heart attack.  The management of CV risk through glucose lowering, BP lowering, and anti-platelet therapy is dealt with elsewhere in this guideline. This chapter deals with lipid-lowering therapy; dietary modification also being dealt with in a separate chapter. Paradoxically, although low-density lipoprotein cholesterol (LDL-C) levels are not particularly raised in people with Type 2 diabetes compared to the background population, the opportunity to lower risk through lipid management is currently greatest through drugs which lower LDL-C, principally the statins.Nevertheless, a variety of other lipid modifying drugs are available and will be considered in turn. 
","The GDG reviewed the evidence, and their clinical experience of trying to manage the complexities of CV risk in clinical practice. They recognised the primacy of trying to control risk cost effectively against treating-to-target, but also noted the practical utility of measurements in assessing response to therapies and providing motivation to people with diabetes. Ultimately theissue of cost effectiveness could only be resolved in the context of the interventions being used to modify the lipid profile, and the evidence in this area was therefore subsumed into the recommendations on the use of CV risk estimation, statins and fibrates. 
"
"CG66S15","Statins and ezetimibe","Statins and ezetimibe","Cholesterol lowering remained difficult, and indeed controversial, until the late 1980s when statins became available. Subsequently these drugs became the mainstay of lipid-lowering therapy, supported eventually by CV outcome studies. As discussed above, people with Type 2 diabetes are at high CV risk, and most of their morbidity and increased mortality comes from coronary, cerebral, and peripheral arterial disease. In earlier NICE technology appraisals (TAs) and the prior Type 2 diabetes guideline, statins were recommended for all people with extant CVD or at high risk thereof, states which include most people with Type 2 diabetes.283 Clinical questions which arise include whether more potent and more expensive statins should ever be used (and if so when), the use of statins in younger people with Type 2 diabetes, whether any people should not be routinely given statins, and the use of alternatives such as fibrates (addressed in the following fibrate section) and ezetimibe addressed by a 2007 NICE TA.2","The GDG were cognisant of the previous NICE statin appraisal, the prior Type 2 diabetes guidelines, the ezetimibe appraisal, the deliberations of the NICE guidelines group on management of CVD, and the health economic analysis. The evidence of effectiveness and safety of generic statins, and in particular simvastatin seemed clear, and at current prices probably cost saving in the population with Type 2 diabetes over the age of 40 years (irrespective of experienceof CVD). There may be individuals in this group at lower CV risk (discussed in section 13), butthese people would be uncommon and easily identified by the absence of CV risk factors (see13.1.6). In others statin therapy should usually be with generic simvastatin at standard dosage(40 mg) in line with the prior TA283 and the Heart Protection Study. The group recognised that some people below the age of 40 years were also at high risk (10 year risk >20%, or 20 year risk >40%). It was considered that they would have to be identified by conventional risk factors; presence of features of the metabolic syndrome, strong family history, ethnic group, and evidence of microvascular damage such as nephropathy. Such people would then be treated with a statin, particularly as their 10-year risk horizon came to include 40 yearsof age or greater. However, the contraindication of the use of statins in pregnancy was felt to begreat enough to deserve special mention, for any woman of childbearing potential. The health economic analysis suggested titration to simvastatin 80 mg was highly cost-effective in those whose lipid levels were not controlled to target levels of 4.0/2.0 mmol/l (T-/LDL-C) irrespective of presence or absence of diagnosed CVD.  In those with CVD the health economic analysis suggested that uptitration from simvastatin 80 mg to a more efficacious statin (modelled as atorvastatin 80 mg daily) was cost-effective if the titration targets were not met on the simvastatin. 

"
"CG66S16","Fibrates","Fibrates","Fibrates have a long and controversial history as lipid-lowering agents, beginning with clofibrate
over 30 years ago and being implicated in the problems which led to withdrawal of cerivastatin
in the 1990s. However, bezafibrate, fenofibrate and ciprofibrate have shown considerable staying
power in the market. Statins have, however, eclipsed fibrates as primary cholesterol-lowering
agents, so the issues surrounding fibrates relate to specific lipid abnormalities. In clinical practice
these mostly concern hypertriglyceridaemia, itself strongly associated with low HDL-C levels,
this problem being particularly common in people with Type 2 diabetes (more so than raised
LDL-C levels).
The clinical question then relates to whether and when a fibrate should be initiated before statin
therapy, and the circumstances under which a fibrate should be added to, or substituted for,
statin therapy","While the evidence was not as strong as for the statins, there was convincing evidence of the effectiveness of fibrates in CV protection in people with Type 2 diabetes. Some of the trials (e.g. FIELD) in which this evidence was found included people with TG levels down to the upper end of the normal range (~1.8 mmol/l). However, while the price of fibrates was considerably above that of generic statins, the more effective fibrates as judged by TG lowering were about half the price of proprietary statins when both are used at standard doses.  Hypertriglyceridaemia is a complex condition with both a genetic basis and often being secondary to other medical conditions, including poor blood glucose control. The GDG recognised it was not writing a guideline on management of hypertriglyceridaemia in people with Type 2 diabetes, but because of the interaction with blood glucose control and other medical conditions often associated with Type 2 diabetes (including renal impairment and liver disease), it could not avoid some general guidance in the area. 
In drawing up the recommendations the GDG was also cognisant of the need to be aware of: 
? the likely combination with statin therapy (given its recommendations on statins) and the
higher rate of side effects of combined usage 
? the more immediate risks of pancreatitis with higher levels of TGs
? the difficulty of assessing LDL-C levels when TG levels were above 4.5 mmol/l. A useful
pragmatic compromise was felt to be to base recommendations around cut-off levels of
2.3 and 4.5 mmol/l. There is evidence of differences between fibrates: gemfibrozil had greater interactions with
other drugs commonly used in diabetes care; bezafibrate was cheaper and less effective in TG
lowering and with a poorer CV evidence base than fenofibrate; and ciprofibrate was more poorly investigated. Therefore recommendations were based around fenofibrate, though with a role for bezafibrate where CV risk was less pronounced, and ciprofibrate as an alternative. Further information on fibrate statin combinations might become available when the ACCORD trial reports.35"
"CG66S17","Nicotinic acid and derivatives","Nicotinic acid and derivatives","Abnormalities of blood lipid profiles, including serum HDL-C and TGs, are recognised CV riskfactors, and are particularly likely to be abnormal in people with Type 2 diabetes. Nicotinic acid preparations are one approach to improving lipid profiles. Nicotinic acid administration isassociated with side effects due to vasodilatation, and derivatives (acipimox) and modified-release preparations have been made available to try and reduce the problem. The clinical question is then what role nicotinic acid derivatives might have in the management of Type 2 diabetes.","This group of drugs was not considered in the previous guideline (2002).414 The limitednumber of studies presented suggested that nicotinic acid can have some advantageous effect on serum HDL-C and lipids, but also that it has some negative effects on blood glucose control. In the absence of outcome trials in people with Type 2 diabetes, and given also the problems of using the current preparations (notably flushing despite prophylactic aspirin, dose titration and use of modified-release preparations), no general recommendation could be given for use of nicotinic acid. The group were aware of some possible special indications in people with extreme hypertriglyceridaemia, but felt this to be outside the remit of the current guideline."
"CG66S18","Omega 3 fish oils","Omega 3 fish oils","The concept of beneficial and harmful dietary fats has come to the fore in recent years. Some
evidence does exist for the use of omega 3 fish oils in certain circumstances such as post-MI.
The clinical question then was what role these oils might have in the management of people
with Type 2 diabetes.","From the evidence available fish oils as a homogeneous therapeutic concept is problematic, as the evidence included showed a variation in the fish oil dosage used. Clinical experience confirmed that large total doses of oils used to get an adequate dose of omega 3 fish oils in some preparations can cause adverse effects. From the evidence available omega 3 fish oil preparations could help lower TG levels, but overall showed minimal improvement in lipid profiles in people who had not had a MI. The GDG agreed there were financial consequences in prescribing omega 3 supplements when the evidence showed no clear benefit.
It was recognised that the recommendations made must be understood as only applying for omega 3 fish oil supplementation, and not to recommendations on sources of dietary fats."
"CG66S19","Antithrombotic therapy","Antithrombotic therapy","Antiplatelet therapy now has an established role in the management of people at high risk of
cardiovascular (CV) events. People with Type 2 diabetes are known to have CV risk higher than
matched populations after allowance for other CV risk factors, and in some studies as high as
those without diabetes who have declared cardiovascular disease (CVD).273 National guidelines
and the previous NICE (inherited) Type 2 diabetes guideline recommend use of aspirin in people
at high CV risk.319,320 Other antiplatelet agents (clopidogrel and dipyridamole modified release
(MR)) have been the subject of a NICE technology appraisal (TA) but without specific calculation
for the higher CV event rate or the specific risk reduction in people with Type 2 diabetes.321 The
increasing occurrence of Type 2 diabetes in younger people raises the additional question of the
use of antiplatelet therapy in those who CV risk may be not be very high.
The guidelines are not concerned with the use of antiplatelet therapy after acute cardiological
events or cardiac interventions, or after acute cerebrovascular events. 
The clinical question then is whether antiplatelet medications should be used in people with
Type 2 diabetes, or in which subgroups of such people, and if so which agents and in what doses.","Little extra evidence of note on use of aspirin was available since the last review. However, there is now better understanding of the extent of the CV risk faced by people with Type 2 diabetes. The rather poor direct evidence for people with Type 2 diabetes led to difficulties in assessing the level of risk above which aspirin therapy should be advised. The GDG accepts that its view that all people at, or over, the age of 50 years should treated is somewhat arbitrary. Primary prevention below that age would be by assessment of higher CV risk (family history of premature vascular disease, abnormal lipid profile, marked abdominal adiposity). While thegroup were aware of some discussions over the dose of aspirin to be used in people withdiabetes, they were not presented with any evidence that could lead to a variation from the usual national recommendations of 75 mg.NICE guidance for dipyridamole MR related only to people with cerebrovascular events. The evidence for the use of clopidogrel was noted to relate to acute and non-acute situations. The current guideline review was not concerned with acute vascular events or interventions. The CHARISMA and MATCH trials suggested that the combination of aspirin and clopidogrel
carried a significant side-effect risk of a serious nature not balanced by secure health gain, and therefore could not be generally recommended. NICE guidance for secondary prevention of vascular events in people without diabetes was that clopidogrel should not be used instead of aspirin except where intolerance or hypersensitivity to the latter was present. The specific evidence for people with diabetes, mostly sub-analyses, did not suggest that advice should be varied for people with Type 2 diabetes."
"CG66S20","Kidney damage","Diabetes kidney disease management","Kidney disease in people with Type 2 diabetes is becoming an ever larger health burden.336 This reflects a number of trends including the increasing prevalence of people with diabetes, the better cardiovascular (CV) survival with modern management, and the better management of progression of kidney damage itself. The trend to younger onset of Type 2 diabetes is also likely to see more kidney damage as these people are at lower CV risk, while in the elderly the condition is ever more complicated by comorbidities disease.  Primary prevention of kidney damage from diabetes centres around the prevention of microvascular (classical diabetic nephropathy) and arterial (and thus renovascular) damage discussed in other chapters of this guideline – the current section is concerned with detection and secondary prevention of kidney damage. For reasons of coherence some recommendationsoverlap with, or are reproduced from, other sections of the guideline.  The clinical questions addressed here include how often and by what means to detect and confirm the possibility of diabetic renal disease, and the means of monitoring its progression.
In those with detected renal disease issues arise as to the means to reduce or stop such progression, and the point at which to engage specialist renal management. 
","Kidney disease in people with Type 2 diabetes is becoming an ever larger health burden.336This reflects a number of trends including the increasing prevalence of people with diabetes, the better cardiovascular (CV) survival with modern management, and the better management of progression of kidney damage itself. The trend to younger onset of Type 2 diabetes is also likely to see more kidney damage as these people are at lower CV risk, while in the elderly the condition is ever more complicated by comorbidities disease.  Primary prevention of kidney damage from diabetes centres around the prevention of microvascular (classical diabetic nephropathy) and arterial (and thus renovascular) damage discussed in other chapters of this guideline – the current section is concerned with detection and secondary prevention of kidney damage. For reasons of coherence some recommendations overlap with, or are reproduced from, other sections of the guideline. 
The clinical questions addressed here include how often and by what means to detect and confirm the possibility of diabetic renal disease, and the means of monitoring its progression. In those with detected renal disease issues arise as to the means to reduce or stop such progression, and the point at which to engage specialist renal management. 
"
"CG66S21","Eye damage","Eye damage","Diabetes eye damage is the single largest cause of blindness before old age with a progressive
incidence in people with Type 2 diabetes.346 The success of laser therapy in the treatment of
sight-threatening retinopathy is an accepted part of ophthalmological care and has not been
assessed for this guideline. 
Appropriate clinical questions to be addressed are, however, how people with developing
retinopathy can be selected for ophthalmological referral in time for optimal treatment, and
whether preventative therapy other than good blood glucose, good blood pressure, and good
blood lipid control can be useful in people with Type 2 diabetes.","It was noted that management in this area was largely determined by practice for all people with diabetes and not just those with Type 2 diabetes. Indeed retinopathy screening programmes to
be provided on a local community basis were a key early target of the National Service Framework (NSF) for diabetes, and since that time the UK National Screening Programme has published and updated a workbook on ‘Essential elements in developing a diabetic retinopathy screening programme’ for the guidance of health authorities and primary care trusts in England (fourth edition, January 2007).347 These observations, and a lack of awareness amongst experts of new publications that might affect recommendations on retinopathy screening, led to the conclusion that recommendations
for people with Type 2 diabetes should closely follow those for Type 1 diabetes (NICE guideline 2004),26 which themselves were largely based on generic evidence independent of type of diabetes. 
Accordingly the recommendations of the Type 1 diabetes guidelines, and the evidence
statements underlying them were reviewed, together with the national screening document.
There are no significant changes from the Type 1 diabetes recommendations. 
"
"CG66S22","Nerve damage","Nerve damage","Neuropathic pain is a troublesome symptom of chronic exposure to poor blood glucose control that cannot be managed acutely by restoration of blood glucose control. It can take many forms, and is often distressing and sometimes depressing, particularly if symptoms are predominantly nocturnal and disturb sleep. People with diabetes may be reluctant to report the symptoms to those with expertise in diabetes care, because of lack of awareness that the problem is diabetes related. A number of drug and non-drug approaches to management are available, this diversity reflecting that none of them are fully effective.
Clinically the issues are when to start specific drug therapy for neuropathic pain, which medications to use, and in what order to try them.","A more holistic approach was often needed at discovery of the problem in helping people tounderstand it, where secondary psychological problems occurred, and when onward referral was needed to specialist pain teams for lack of response to conventional measures."
"CG66S23","Gastroparesis","Gastroparesis","Gastroparesis can be one of the more devastating complications of autonomic neuropathy.
While it can present as bloating, nausea and fullness on eating, severe intermittent hypoglycaemia can be a major problem for people on glucose-lowering therapy, while vomiting may be intermittent and sudden or occasionally severe and protracted. The clinical questions addressed include in whom to suspect gastroparesis might be present, what medications might help, and what other measures might be taken.","The evidence reported had methodological limitations, notably studies of small sample sizes.The GDG agreed that there is a poor evidence base for the treatment of gastroparesis. Nevertheless they noted that the evidence reported suggested that the prokinetic drugs, metoclopramide, domperidone, along with erythromycin, were all effective in at least some people with gastroparesis resulting from autonomic neuropathy. On consideration of the evidence it was not possible to distinguish usefully between the prokinetic drugs. The group agreed that choice of initial therapy should be based on tolerability issues, including drug interactions. It was noted that differential diagnosis can be difficult, and the diagnostic tests not secure, while serious prolonged vomiting could become a medical emergency. Accordingly referral beyond diabetes services is sometimes indicated.
While the group gave priority to medication for the management of this condition, clinical experience suggested that non-pharmacological approaches including postural advice and timing of ingestion of fluids and solids could prove useful to some people."
"CG73S1"," Investigating chronic kidney disease 
","Measuring kidney function 
","The glomerular filtration rate (GFR) is equal to the sum of the filtration rates in all of thefunctioning nephrons and is the best index of overall kidney function. Knowledge of GFR isessential for the diagnosis and management of CKD and is a translatable concept. Because a normal GFR is roughly 100 ml/min/1.73 m2, we can explain kidney function to patients and carers in terms of a percentage of normal – a more easily understandable concept than GFR.  The gold standard methods of estimating GFR require measurement of an ideal filtration marker. These markers should be freely filtered by the glomerulus, should not be bound to plasma proteins, must be excreted unchanged and not be subject to either tubular secretion or absorption. Commonly used markers include inulin, 51Cr-EDTA, 125I-iothalamate and iohexol. Gold standard methods of assessing GFR are technically demanding, expensive, time consuming and unsuitable for widespread identification of CKD in the ‘at risk’ population. 
At the other end of the accuracy scale lies measurement of serum creatinine, which is a universally available endogenous test of kidney function. Although easy and cheap to measure, creatinine is subject to non-renal and analytical influences which make it insufficiently sensitive to detect moderate CKD on its own. Measurement of 24-hour urinary creatinine clearance improves the accuracy but is also subject to the same non-renal and analytical influences compounded by inaccuracies in urine collection, to say nothing of the inconvenience associated with 24-hour urine collections. An alternative and more accurate endogenous marker is cystatin C, a 13 kDa cationic protein produced by all nucleated cells. Serum cystatin C levels are chiefly determined by GFR. Potential limitations of cystatin C as a marker of GFR include lack of assay standardisation, the requirement for a dedicated analytical system, and increased costs relative to serum creatinine (approximately £3/assay compared to <£0.10/assay).
A further alternative is to measure serum creatinine and estimate GFR using an equation which corrects for some of the more significant non-renal influences. This approach is known to be more sensitive for the detection of CKD than serum creatinine and more accurate than creatinine clearance.
So what have previous guideline groups recommended? The SIGN guidelines 32 recommended use of prediction equations in place of 24-hour creatinine clearance or serum creatinine alone and preferred prediction equations to cystatin C on the grounds of practical and resource considerations. The Modification of Diet in Renal Disease (MDRD) equation was preferred to the Cockcroft-Gault formula. The UK CKD guidelines and the UK consensus conference recommended use of the 4-variable MDRD equation using zero biased creatinine methods.33,34Others (KDOQI, CARI and KDIGO)14,35–37 have recommended that serum creatinine should not be used alone to assess kidney function, that creatinine assays should be traceable to a = reference creatinine method, and that an estimated GFR should be reported by laboratories
alongside the serum creatinine measurement using the 4-variable MDRD equation. 
","The evidence suggests that in general the 4-variable MDRD performs better than the Cockcroft- Gault equation. However, in older people and in people with GFR greater than 60ml/min/1.73 m2 the MDRD is subject to bias and can underestimate GFR. The GDG noted that serum creatinine is correlated with muscle mass and therefore estimation of GFR using prediction equations in people with extremes of muscle mass is subject to inaccuracy. In those with increased muscle mass GFR will be under estimated and in those withreduced muscle mass GFR will be over estimated. 
Gold standard measures of GFR are time consuming and expensive to perform but where a highly accurate measurement of GFR is required, for example in assessment of kidney donors or for accurate calculation of dosing of potentially toxic chemotherapy, the evidence suggests that GFR estimated from prediction equations is insufficiently accurate. The GDG agreed that significant changes in GFR are equally important in those individuals with GFR greater than 60 ml/min/1.73 m2. Where laboratories do not report levels of GFR greater than 60 ml/min/1.73 m2 the GDG considered that a rise in serum creatinine of greater than 20% should be considered significant.
Although the original MDRD equation included a correction factor for the American black population, there are no correction factors for other populations and in routine use the derived GFR is not corrected for any ethnicity other than African-Caribbean.  Although most laboratories would be capable of measuring cystatin C concentrations there isno evidence to suggest that it was more useful than using the MDRD, with the caveat thatexisting evidence comparing cystatin C and the MDRD failed to appropriately calibrate serumcreatinine measurements to the method of the MDRD laboratory. Cystatin C measurement is also currently more expensive"
"CG73S2"," Investigating chronic kidney disease 
","Factors affecting the biological and analytical variability of  GFR estimated from measurement of serum creatinine 
","The measurement of serum creatinine to estimate GFR with predictive equations is subject to biological and analytical variation.  Biological variation includes random variation and predictable cyclical variation (daily, monthly, seasonal). Within-subject biological variation is the average random fluctuation around a homeostatic set point, expressed mathematically as a coefficient of variation (CV).55 Large variations in serum creatinine measurements could result in misclassification of people to a particular CKD stage. Factors affecting measured serum creatinine concentration and estimated GFR from prediction equations include ingestion of cooked meat (where the cooking process converts meat creatine to creatinine, which is subsequently absorbed into the bloodstream after ingestion), individual patient fluid status, diurnal variation, and centrifugation of blood samples. 
Plasma creatinine measurements also vary depending on the method/analyser used and there is inter-laboratory variation which changes with creatinine concentration. There is no (single) standard method used across England. Method precision at higher levels of creatinine has less variability and thus has marginal impact on the interpretation of eGFR from prediction equations. However, in the critical diagnostic range there is concern that inter-method/laboratory variation may impact on the diagnostic utility of eGFR. This is probably at creatinine concentrations of less than 180 µmol/l. If creatinine levels are overestimated because of method bias/variability this will result in a reduced eGFR (false positives) and misclassification of CKD. This will lead to increased referral rates and inappropriate labelling of patients as having CKD. If
creatinine levels are underestimated, the reverse will happen (false negatives). 
Since April 2006, creatinine assays in chemistry laboratories in England have been calibrated to the gold standard reference method of isotope dilution mass spectrophotometry (IDMS) through the National External Quality Assurance Scheme. This has enabled reporting of an IDMS-related MDRD derived eGFR to minimise interlaboratory variation in GFR results. This section addresses other sources of bias and variation in creatinine measurement.","The GDG noted that although the biochemical assay for creatinine is precise, a number of factors affect serum creatinine levels, particularly the person’s state of hydration and whether they had recently eaten meat. Serum creatinine concentrations also show diurnal variation. This means that
the eGFR derived using the 4-variable MDRD equation will also be affected by these factors.
When making a diagnosis of CKD, assessing the stage of CKD, or monitoring patients for evidence of declining kidney function, it is important that clinicians are aware of the factors that can influence creatinine concentrations. It was recommended that whenever possible they take steps to minimise the biases that these factors introduce and that they are aware that changes of less than 5% may simply be due to biological and analytical variability. Whilst a simple solution to the variability introduced by eating meat would be to recommend an overnight fast before having a blood sample taken, it was agreed that this was unnecessarily restrictive."
"CG73S3"," Investigating chronic kidney disease 
","Detection of blood and protein in the urine","The persistent presence of protein (proteinuria), albumin (albuminuria), or red blood cells (haematuria) in urine is evidence of kidney damage. Diagnostic tests that can rapidly detect the presence of protein or red blood cells in urine with high specificity and sensitivity are integral to the early detection and management of CKD.  Haematuria is defined as the presence of red blood cells (RBCs) in the urine, either visible
(macroscopic haematuria) or invisible and detected by direct microscopy (microscopic haematuria). A reagent strip test to detect blood in urine provides an instant result and is often the method of detection of invisible haematuria in the primary care setting.67 The reagent strip or ‘dipstick’ test is commonly considered to be sensitive for the detection of RBCs below the defined (microscopic) 3 RBCs per high power field threshold for invisible haematuria. Dipstick testing of spot urine samples is also used for rapid detection of protein and albumin. However, reagent strips are subject to false positives because of patient dehydration, exercise, infection, and extremely alkaline urine. False negative results occur as a result of excessive hydration and urine proteins other than albumin. 
Haematuria can be broadly classified as nephrological or urological in origin. Most forms of intrinsic kidney disease may result in invisible haematuria. Urological causes include tumours, urinary tract infection, stone disease and bleeding from benign conditions of the urinary tract. Invisible haematuria may also be detected in the absence of any underlying pathology, such as after vigorous exercise.68 The prevalence of asymptomatic invisible haematuria varies between 0.19% and 21%, depending on age and gender. Screening studies have suggested that the prevalence of asymptomatic invisible haematuria in the UK adult male population is around 2.5%, increasing to 22% in men over the age of 60 years.69,70","It was noted that reagent strips have been used to identify and quantify the presence of albumin, total protein and red blood cells in a urine sample. Some reagent strips identify the presence of
both haematuria and proteinuria. There was no evidence to suggest one type of reagent strip performed better than the others. It was noted that the reagent strips used to detect proteinuria in routine clinical practice are predominantly sensitive to albumin not to total protein. When considering the evidence concerning haematuria the GDG were aware that in many circumstances haematuria is a feature of urological disease rather than CKD.
Unless performed using phase contrast microscopy on a sample that has been received promptly, laboratory assessment of haematuria is less accurate than reagent strip testing because of cell lysis during transport to the laboratory and inaccuracies in quantifying the red blood cells present. There is no consensus about whether a ‘trace’ or one ‘+’ should be considered positive when testing for haematuria using reagent strips. The GDG recommended that the presence of one ‘+’ should be considered positive.
When considering nephrological causes of haematuria it was noted that most clinicians would need evidence of concurrent proteinuria (ACR >30 mg/mmol) and/or evidence of deterioration in GFR before recommending renal biopsy. 
When considering the use of reagent strips to identify or quantify proteinuria it was again noted that although 24-hour urine collections for urinary protein estimation have been considered to
be the ‘gold standard’ they are subject to inaccuracies due to incomplete collection of all urine voided or inaccurate timing, and the biochemical methods used to quantify the amount of
protein present give different results. There is no evidence about the frequency with which testing for proteinuria should subsequently
be repeated. 
It was noted that the timing of the urine sample was important to get a meaningful result. A morning sample is best as the urine is most concentrated and thus the concentration of protein will be highest and more likely to be detected. It was recognised, however, that stipulating that testing should only be undertaken on morning samples would cause practical difficulties for service organisation and might inhibit opportunistic testing.
The GDG noted that use of reagent strip tests for identification of significant proteinuria was dependent on urine concentration, rendering them unreliable for both detection of small
amounts of proteinuria and for accurately quantifying the degree of proteinuria.  ACR is the test of choice to identify proteinuria in people with diabetes and is already widely used in practice. Albumin is the predominant component of proteinuria in glomerular disease, however the non-diabetic CKD literature reviewed in this guideline is based on 24-hour urinary protein excretion. 
It is this guideline’s purpose to improve early identification and help prevent progression of CKD. Epidemiological study increasingly underlines the importance of even a low level of
proteinuria as a strong predictor of adverse outcome. Reagent strips in current clinical practice predominantly detect albumin, not total protein, but are not reliably quantitative. Studies to inform intervention levels of ACR in non-diabetic CKD are not yet available and it is not possible to derive a simple correction factor that allows the precise conversion of ACR values to PCR. However, ACR has far greater sensitivity than PCR for the detection of low levels of proteinuria and thus lends itself to detection and identification of CKD.
When the clinical and cost-effectiveness evidence is all taken into account, considerable uncertainty remains about the choice of ACR or PCR. Clinical opinion was divided among stakeholder organisations and within the GDG, but given the considerations above, the GDG made a consensus recommendation that ACR should be the test of choice to identify proteinuria and possible chronic kidney disease. The GDG however also noted that there will often be good clinical reasons for subsequently using PCR to quantify and monitor significant levels of proteinuria.
The GDG noted that an ACR of =30 mg/mmol, or PCR =50 mg/mmol in association with haematuria or an ACR =70 mg/mmol, or PCR =100 mg/mmol in the absence of haematuria were considered indications for referral to nephrology (see section 6.1.4). It was agreed that the finding of levels of ACR <70 mg/mmol, or PCR <100 mg/mmol should be confirmed using an early morning urine sample. 
"
"CG73S4"," Investigating chronic kidney disease 
","Urinary albumin:creatinine and protein:creatinine ratios,  and their relationship to 24-hour urinary protein","Proteinuria is a cardinal sign of kidney disease. Measurement of total protein in urine is a traditional, inexpensive and well established test for kidney injury. A vast body of nephrological literature is predicated on 24-hour urinary total protein. Significant proteinuria is an independent risk factor for both progression of CKD and cardiovascular disease. Monitoring of urinary proteinuria is both part of the routine evaluation of those at risk of CKD and is an important method of assessing progression and response to therapy.  Proteins normally excreted in the urine include albumin, low molecular weight immunoglobulin (filtered plasma proteins), and secreted tubular proteins. There is no consistent definition of proteinuria. The upper limit of normal is approximately 150 mg/24 h, equivalent to a protein:creatinine ratio (PCR) of 15 mg/mmol (given an average daily urine creatinine excretion of 10 mmol), but the cut off for abnormal varies from laboratory to laboratory. By contrast, urinary albumin measurement provides a quantitative, relatively standardised measurement of excretion of the single most important protein in most nephropathies. The normal mean value for urine albumin is 10 mg/day, microalbuminuria is defined as 30–300 mg/day or an albumin:creatinine ratio (ACR) of >2.5 mg/mmol in men and >3.5 mg/mmol in women. Macroalbuminuria is a urinary albumin greater than 300 mg/day (ACR >30 mg/mmol).","Although 24-hour urine collections for protein and albumin are often used in diagnostic
studies as the ‘gold standard’, 24-hour collections are subject to inaccuracies due to incomplete
collection of all urine voided or inaccurate timing and the biochemical methods used to
quantify the amount of protein present will give different results. Further, the objective of these
tests in clinical practice is to detect people with CKD at increased risk of progression, and it is
not yet established whether either one of proteinuria or albuminuria is superior to the other in
this regard.
The evidence reviewed for the measurement of protein, albumin, PCR and ACR came from
different disease groups, and in some cases different ethnic groups. The GDG noted that the
influence of either disease or ethnicity on actual measurement was questionable.
ACR and PCR overcome inaccuracies related to timing of collection and incomplete urine
collection but measure different proteins.
For the identification of proteinuria in routine clinical practise a single test has been
recommended.
The amount of albuminuria was considered the most relevant measurement and has the
advantage that the amount of albumin can be accurately measured if an immunologic assay is
used.
The cost-effectiveness analysis (Appendix C) showed that ACR (performed in a hospital laboratory) was more cost-effective than the use of protein or albumin reagent strips. In a sensitivity analysis, we found that ACR has to be only very slightly more accurate than PCR for ACR to be cost-effective across a range of plausible cost differentials. It is not possible to derive a simple correction factor that allows the conversion of ACR values to PCR or 24-hour urinary protein excretion rates because the relative amounts of albumin and other proteins will vary depending on the clinical circumstances; however, the GDG produced a table of approximate equivalents that will allow clinicians unfamiliar with ACR values to see the approximate equivalent PCR and 24-hour urinary protein excretion rates (Table 4.5)."
