"Recommendation GUID","Recommendation body","Recommendation title","Recommendation Grade Code","Set GUID"
"CG87R1.8.1","Measure blood pressure at least annually in a person without previously diagnosed
hypertension or renal disease. Offer and reinforce preventive lifestyle advice.","Measure blood pressure annually","","CG66S10"
"CG87R1.8.2","For a person on antihypertensive therapy at diagnosis of diabetes, review control of blood pressure and medications used, and make changes only where there is poor control or where current medications are not appropriate because of microvascular complications or metabolic problems.
","Review control of bp and medications for those on antihypertensive therapy","","CG66S10"
"CG87R1.8.3","Repeat blood pressure measurements within:
_ One month if blood pressure is higher than 150/90 mmHg
_ Two months if blood pressure is higher than 140/80 mmHg
_ Two months if blood pressure is higher than 130/80 mmHg and there is kidney, eye or
cerebrovascular damage.
Offer lifestyle advice (diet and exercise) at the same time.
","When to repeat blood pressure measurements","","CG66S10"
"CG87R1.8.4","Offer lifestyle advice (see dietary recommendations in section 6.1 of this guideline and the lifestyle recommendations in section 1.2 of ‘Hypertension: management of hypertension in adults in primary care’)272 if blood pressure is confirmed as being consistently above 140/80 mmHg (or above 130/80 mmHg if there is kidney, eye or cerebrovascular damage).
","When to offer lifestyle advice","","CG66S10"
"CG87R1.8.5","Add medications if lifestyle advice does not reduce blood pressure to below 140/80 mmHg (below 130/80 mmHg if there is kidney, eye or cerebrovascular damage).
","When to add medications","","CG66S10"
"CG87R1.8.6","Monitor blood pressure 1–2 monthly, and intensify therapy if on medications, until blood pressure is consistently below 140/80 mmHg (below 130/80 mmHg if there is kidney, eye or cerebrovascular disease).
","Monitoring blood pressure for those with kidney, eye or cerebrovascular disease","","CG66S10"
"CG87R1.8.7","First-line blood pressure-lowering therapy should be a once daily, generic angiotensinconverting enzyme (ACE) inhibitor. Exceptions to this are people of African-Caribbean descent or women for whom there is a possibility of becoming pregnant (see recommendation 66 and 67).
","First line blood pressure lowering therapy for non-Afro Caribbean patients and women unikely to become pregnant","","CG66S10"
"CG87R1.8.8","The first-line blood pressure-lowering therapy for a person of African-Caribbean descent should be an ACE inhibitor plus either a diuretic or a generic calcium channel blocker
","First line blood pressure lowering therapy for Afro Caribbean patients","","CG66S10"
"CG87R1.8.9","A calcium channel blocker should be the first-line blood pressure-lowering therapy for a woman for whom, after an informed discussion, it is agreed there is a possibility of her becoming pregnant
","First line blood pressure lowering therapy for women who may become pregnant","","CG66S10"
"CG87R1.8.10","For a person with continuing intolerance to an ACE inhibitor (other than renal deterioration or hyperkalaemia), substitute an angiotensin II-receptor antagonist for the ACE inhibitor.
","Substitute for ACE inhibitor","","CG66S10"
"CG87R1.8.11","If the person’s blood pressure is not reduced to the individually agreed target with first-line therapy, add a calcium channel blocker or a diuretic (usually bendroflumethiazide, 2.5 mg daily). Add the other drug (that is, the calcium channel blocker or diuretic) if the target is not reached with dual therapy
","Addition of calcium channel blocker to first line therapy","","CG66S10"
"CG87R1.8.12","If the person’s blood pressure is not reduced to the individually agreed target with triple therapy (see recommendation 69), add an alpha-blocker, a beta-blocker or a potassium-sparing diuretic (the last with caution if the individual is already taking an ACE inhibitor or an angiotensin
II-receptor antagonist).
","Addition of alpha-blocker, beta blocker or potassium-sparing diuretic","","CG66S10"
"CG87R1.8.13","Monitor the blood pressure of a person who has attained and consistently remained at his or her blood pressure target every 4–6 months, and check for possible adverse effects of antihypertensive therapy – including the risks from unnecessarily low blood pressure.","Regular blood pressure monitoring when at blood pressure target","","CG66S10"
"CG87R1.7.3.1","Offer education to a person who requires insulin about using an injection device (usually a pen injector and cartridge or a disposable pen) that they and/or their carer find easy to use.","Education  for those requiring insulin via injection device","","CG66S11"
"CG87R1.7.3.2","Appropriate local arrangements should be in place for the disposal of sharps.","Disposal of sharps","","CG66S11"
"CG87R1.7.3.3","If a person has a manual or visual disability and requires insulin, offer a device or adaptation that:
takes into account his or her individual needs he or she can use successfully.","Adaptation for those with disabilities requiring insulin iva injection device","","CG66S11"
"CG87R1.8.5","Add medications if lifestyle advice does not reduce blood pressure to below 140/80 mmHg (below 130/80 mmHg if there is kidney, eye or cerebrovascular damage).","When to add medications to lifestyle advice","","CG66S12"
"CG87R1.8.6","Monitor blood pressure 1–2-monthly, and intensify therapy if on medications until blood pressure is consistently below 140/80 mmHg (below 130/80 mmHg if there is kidney, eye or cerebrovascular disease).","When to monitor blood pressure","","CG66S12"
"CG87R1.9.1","Consider a person to be at high premature cardiovascular risk for his or her age unless he or she:
is not overweight, tailoring this with an assessment of body-weight-associated risk according to ethnic group
is normotensive (< 140/80 mmHg in the absence of antihypertensive therapy)
does not have microalbuminuria
does not smoke
does not have a high-risk lipid profile
has no history of cardiovascular disease and
has no family history of cardiovascular disease.","When to consider a person to be at high premature cardiovascular risk for age.","","CG66S13"
"CG87R1.9.2","If the person is considered not to be at high cardiovascular risk, estimate cardiovascular risk annually using the UK Prospective Diabetes Study (UKPDS) risk engine.","Estimate cardiovascular risk annually","","CG66S13"
"CG87R1.9.3","Consider using cardiovascular risk estimates from the UKPDS risk engine (see 1.9.2) for educational purposes when discussing cardiovascular complications with the individual.","When to use cardiovascular risk estimates","","CG66S13"
"CG87R1.9.4","Perform a full lipid profile (including high-density lipoprotein [HDL] cholesterol and triglyceride estimations) when assessing cardiovascular risk after diagnosis and annually, and before starting lipid-modifying therapy.","When to perform full lipid profile","","CG66S14"
"CG87R1.10.1","Review cardiovascular risk status annually by assessment of cardiovascular risk factors, including features of the metabolic syndrome and waist circumference, and change in personal or family cardiovascular history.","Annual review of cardiovascular risk status","","CG66S14"
"CG87R1.10.2","For a person who is 40 years old or over:
initiate therapy with generic simvastatin (to 40 mg) or a statin of similar efficacy and cost unless the cardiovascular risk from non-hyperglycaemia-related factors is low (see 1.9.1 ) if the cardiovascular risk from non-hyperglycaemia-related factors is low, assess cardiovascular risk using the UKPDS risk engine (see 1.9.2) and initiate simvastatin therapy (to 40 mg), or a statin of similar efficacy and cost, if the cardiovascular risk exceeds 20% over 10 years.","Therapy for person 40 years old and over","","CG66S15"
"CG87R1.10.3","For a person who is under 40 years old, consider initiating generic simvastatin therapy (to 40 mg), or a statin of similar efficacy and cost, where the cardiovascular risk factor profile appears particularly poor (multiple features of the metabolic syndrome, presence of conventional risk factors, microalbuminuria, at-risk ethnic group, or strong family history of premature cardiovascular disease).","Therapy for erson under 40 years old","","CG66S15"
"CG87R1.10.4","Once a person has been started on cholesterol-lowering therapy, assess his or her lipid profile (together with other modifiable risk factors and any new diagnosis of cardiovascular disease) 1–3 months after starting treatment, and annually thereafter. In those not on cholesterol-lowering therapy, reassess cardiovascular risk annually and consider initiating a statin (see 1.10.1.2 and 1.10.1.3).","When to assess lipid profile","","CG66S14"
"CG87R1.10.5","Increase the dose of simvastatin, in anyone initiated on simvastatin in line with the above recommendations, to 80 mg daily unless total cholesterol level is below 4.0 mmol/litre or low-density lipoprotein [LDL] cholesterol level is below 2.0 mmol/litre.","When to increase dose of simvastatin","","CG66S15"
"CG87R1.10.6","Consider intensifying cholesterol-lowering therapy (with a more effective statin or ezetimibe in line with NICE guidance)[8] if there is existing or newly diagnosed cardiovascular disease, or if there is an increased albumin excretion rate, to achieve a total cholesterol level below 4.0 mmol/litre (and HDL cholesterol not exceeding 1.4 mmol/litre) or an LDL cholesterol level below 2.0 mmol/litre[","When to consider intensifying cholesterol lowering therapy","","CG66S15"
"CG87R1.10.7","If there is a possibility of a woman becoming pregnant, do not use statins unless the issues have been discussed with the woman and agreement has been reached.","Women of child bearing age and statins","","CG66S15"
"CG87R1.10.2.1","If there is a history of elevated serum triglycerides, perform a full fasting lipid profile (including HDL cholesterol and triglyceride estimations) when assessing cardiovascular risk annually.","When to perform full fasting lipid profile","","CG66S16"
"CG87R1.10.2.2","Assess possible secondary causes of high serum triglyceride levels, including poor blood glucose control (others include hypothyroidism, renal impairment and liver inflammation, particularly from alcohol). If a secondary cause is identified, manage according to need.","Assessing possible secondary csue of high serum triglyceride levels","","CG66S16"
"CG87R1.10.2.3","Prescribe a fibrate (fenofibrate as first-line) if triglyceride levels remain above 4.5 mmol/litre despite attention to other causes. In some circumstances, this will be before a statin has been started because of acute need (that is, risk of pancreatitis) and because of the undesirability of initiating two drugs at the same time.","When to prescribe a fibrate","","CG66S16"
"CG87R1.10.2.4","If cardiovascular risk is high (as is usual in people with type 2 diabetes), consider adding a fibrate to statin therapy if triglyceride levels remain in the range 2.3–4.5 mmol/litre despite statin therapy.","When to consider adding fibrate to statin therapy","","CG66S16"
"CG87R1.10.3.1","Do not use nicotinic acid preparations and derivatives routinely for people with type 2 diabetes. They may have a role in a few people who are intolerant of other therapies and have more extreme disorders of blood lipid metabolism, when managed by those with specialist expertise in this area.","Do not use nicotinic acid preparations routinely","","CG66S17"
"CG87R1.10.4.1","Do not prescribe fish oil preparations for the primary prevention of cardiovascular disease in people with type 2 diabetes. This recommendation does not apply to people with hypertriglyceridaemia receiving advice from a healthcare professional with special expertise in blood lipid management.","Do not prescribe fish oil preparations for primary prevention of cardiovascular disease","","CG66S18"
"CG87R1.10.4.2","Consider a trial of highly concentrated, licensed omega-3 fish oils for refractory hypertriglyceridaemia if lifestyle measures and fibrate therapy have failed.","When to consider trial of omega 3 fish oils","","CG66S18"
"CG87R1.11.1","Offer low-dose aspirin, 75 mg daily, to a person who is 50 years old or over, if blood pressure is below 145/90 mmHg","When to offer low dose aspirin to person 50 years old and over","","CG66S19"
"CG87R1.11.2","Offer low-dose aspirin, 75 mg daily, to a person who is under 50 years old and has significant other cardiovascular risk factors (features of the metabolic syndrome, strong early family history of cardiovascular disease, smoking, hypertension, extant cardiovascular disease, microalbuminuria)[10].","When to offer low dose aspirin to person under  50 years old ","","CG66S19"
"CG87R1.11.3","Clopidogrel should be used instead of aspirin only in those with clear aspirin intolerance (except in the context of acute cardiovascular events and procedures). Follow the recommendations in 'Clopidogrel and modified-release dipyridamole in the prevention of occlusive vascular events' (NICE technology appraisal guidance 90).","When to use clopidogrel instead of aspirin","","CG66S19"
"CG87R1.12.1","Ask all people with or without detected nephropathy to bring in a first-pass morning urine specimen once a year. In the absence of proteinuria/urinary tract infection (UTI), send this for laboratory estimation of albumin:creatinine ratio. Request a specimen on a subsequent visit if UTI prevents analysis.","Fist pass morning urine specimen","","CG66S20"
"CG87R1.12.2","Make the measurement on a spot sample if a first-pass sample is not provided (and repeat on a first-pass specimen if abnormal) or make a formal arrangement for a first-pass specimen to be provided.","Spot sample instead of first pass morning sample","","CG66S20"
"CG87R1.12.3","Measure serum creatinine and estimate the glomerular filtration rate (using the method-abbreviated modification of diet in renal disease [MDRD] four-variable equation) annually at the time of albumin:creatinine ratio estimation.","Serum creatinine measurement","","CG66S20"
"CG87R1.12.4","Repeat the test if an abnormal albumin:creatinine ratio is obtained (in the absence of proteinuria/UTI) at each of the next two clinic visits but within a maximum of 3–4 months. Take the result to be confirming microalbuminuria if a further specimen (out of two more) is also abnormal (> 2.5 mg/mmol for men, > 3.5 mg/mmol for women).","When to repeat test","","CG66S20"
"CG87R1.12.5","Suspect renal disease other than diabetic nephropathy and consider further investigation or referral when the albumin:creatinine ratio (ACR) is raised and any of the following apply:
there is no significant or progressive retinopathy
blood pressure is particularly high or resistant to treatment
the person previously had a documented normal ACR and develops heavy proteinuria (ACR > 100 mg/mmol)
significant haematuria is present
the glomerular filtration rate has worsened rapidly
the person is systemically ill.","When to suspect renal disease and consider further investigation or referral","","CG66S20"
"CG87R1.12.6","Discuss the significance of a finding of abnormal albumin excretion rate, and its trend over time, with the individual concerned.","Discuss significance of abnormal albumin excretion rate.","","CG66S20"
"CG87R1.12.7","Start ACE inhibitors with the usual precautions and titrate to full dose in all individuals with confirmed raised albumin excretion rate (> 2.5 mg/mmol for men, > 3.5 mg/mmol for women).","When to start ACE inhibitors","","CG66S20"
"CG87R1.12.8","Have an informed discussion before starting an ACE inhibitor in a woman for whom there is a possibility of pregnancy, assessing the relative risks and benefits of the use of the ACE inhibitor.","ACE inhibitor discussion with  woman of childbearing age","","CG66S20"
"CG87R1.12.9","Substitute an angiotensin II-receptor antagonist for an ACE inhibitor for a person with an abnormal albumin:creatinine ratio if an ACE inhibitor is poorly tolerated.","","","CG66S20"
"CG87R1.12.10","For a person with an abnormal albumin:creatinine ratio, maintain blood pressure below 130/80 mmHg.","Blood pressure target for person with abnormal albumin creatinine ratio","","CG66S20"
"CG87R1.12.11","Agree referral criteria for specialist renal care between local diabetes specialists and nephrologists.","Agree referal criteria","","CG66S20"
"CG87R1.13.1","Arrange or perform eye screening at or around the time of diagnosis. Arrange repeat of structured eye surveillance annually.","When to arrange eye screening","","CG66S21"
"CG87R1.13.2","Explain the reasons for, and success of, eye surveillance systems to the individual and ensure attendance is not reduced by ignorance of need or fear of outcome.","Explain reasons for eye surveillance systems","","CG66S21"
"CG87R1.13.3","Use mydriasis with tropicamide when photographing the retina, after prior informed agreement following discussion of the advantages and disadvantages. Discussions should include precautions for driving.","Use of mydriasis with tropicamide","","CG66S21"
"CG87R1.13.4","Use a quality-assured digital retinal photography programme using appropriately trained staff.","Quality assured digital retinal photography programme","","CG66S21"
"CG87R1.13.5","Perform visual acuity testing as a routine part of eye surveillance programmes.","When to perform visual acuity testing","","CG66S21"
"CG87R1.13.6","Repeat structured eye surveillance according to the findings by:routine review in 1 year, orearlier review, orreferral to an ophthalmologist.","When to repeat structured eye surveillance","","CG66S21"
"CG87R1.13.7","Arrange emergency review by an ophthalmologist for:sudden loss of vision rubeosis iridispre-retinal or vitreous haemorrhage retinal detachment.","When to arrange emergency review by opthalmologist","","CG66S21"
"CG87R1.13.8","Arrange rapid review by an ophthalmologist for new vessel formation.","Opthalmologist review for new vessel formation","","CG66S21"
"CG87R1.13.9","Refer to an ophthalmologist in accordance with the National Screening Committee criteria and timelines if any of these features is present:
referable maculopathy:exudate or retinal thickening within one disc diameter of the centre of the foveacircinate or group of exudates within the macula (the macula is defined here as a circle centred on the fovea, with a diameter the distance between the temporal border of the optic disc and the fovea)any microaneurysm or haemorrhage within one disc diameter of the centre of the fovea, only if associated with deterioration of best visual acuity to 6/12 or worse referable pre-proliferative retinopathy (if cotton wool spots are present, look carefully for the following features, but cotton wool spots themselves do not define pre-proliferative retinopathy):
any venous beading
any venous loop or reduplication
any intraretinal microvascular abnormalities
multiple deep, round or blot haemorrhages
any unexplained drop in visual acuity.","When to refer to opthalmologist","","CG66S21"
"CG87R1.14.1","For the management of foot problems relating to type 2 diabetes, follow recommendations in Type 2 diabetes: prevention and management of foot problems (NICE clinical guideline 10).","Follow NICE CG10","",""
"CG87R1.14.2.1","Make a formal enquiry annually about the development of neuropathic symptoms causing distress. Discuss the cause and prognosis (including possible medium-term remission) of troublesome neuropathic symptoms, if present (bearing in mind alternative diagnoses). Agree appropriate therapeutic options and review understanding at each clinical contact.","When to enquire re development of neuropathic symptoms","","CG66S22"
"CG87R1.14.2.2","Be alert to the psychological consequences of chronic, painful diabetic neuropathy and offer psychological support according to the needs of the individual.","Psychological consequences of diabetic neuropathy","","CG66S22"
"CG87R1.14.2.3","This recommendation has been replaced by 'neuropathic pain' ( NICE clinical guideline 96 ).","SEE NICE CG96","",""
"CG87R1.14.2.4","This recommendation has been replaced by 'neuropathic pain' ( NICE clinical guideline 96 ).","SEE NICE CG96","",""
"CG87R1.14.2.5","This recommendation has been replaced by 'neuropathic pain' ( NICE clinical guideline 96 ).","SEE NICE CG96","",""
"CG87R1.14.2.6","This recommendation has been replaced by 'neuropathic pain' ( NICE clinical guideline 96 ).","SEE NICE CG96","",""
"CG87R1.14.2.7","If neuropathic symptoms cannot be controlled adequately, it may be helpful to further discuss:
the reasons for the problem
the likelihood of remission in the medium term
the role of improved blood glucose control.","Discussion if neuropathic symptoms persist","","CG66S22"
"CG87R1.14.3.1","Consider the diagnosis of gastroparesis in an adult with erratic blood glucose control or unexplained gastric bloating or vomiting, taking into consideration possible alternative diagnoses.","When to consider diagnosis of gastroparesis","","CG66S23"
"CG87R1.14.3.2","Consider a trial of metoclopramide, domperidone or erythromycin for an adult with gastroparesis.","Drugs to consider for adult with gastroparesis","","CG66S23"
"CG87R1.14.3.3","If gastroparesis is suspected, consider referral to specialist services if:
the differential diagnosis is in doubt, or
persistent or severe vomiting occurs.","When to consider referral if gastropsresis suspected","","CG66S23"
"CG87R1.14.4.1","Review the issue of erectile dysfunction with men annually.","When to review erectile dysfunction issue","","CG66S22"
"CG87R1.14.4.2","Provide assessment and education for men with erectile dysfunction to address contributory factors and treatment options.","Addressing contributory factors and treatment options","","CG66S22"
"CG87R1.14.4.3","Offer a phosphodiesterase-5 inhibitor (choosing the drug with the lowest acquisition cost), in the absence of contraindications, if erectile dysfunction is a problem.","Drugs to offer for erectile dysfunction","","CG66S22"
"CG87R1.14.4.4","Following discussion, refer to a service offering other medical, surgical, or psychological management of erectile dysfunction if phosphodiesterase-5 inhibitors have been unsuccessful.","Referral if drugs unsuccessful","","CG66S22"
"CG87R1.14.5.1","Consider the possibility of contributory sympathetic nervous system damage for a person who loses the warning signs of hypoglycaemia.","When to consider contributory sympathetic nervous system damage","","CG66S22"
"CG87R1.14.5.2","Consider the possibility of autonomic neuropathy affecting the gut in an adult with unexplained diarrhoea, particularly at night.","When to consider autonomic neuropathy","","CG66S22"
"CG87R1.14.5.3","When using tricyclic drugs and antihypertensive medications in people with autonomic neuropathy, be aware of the increased likelihood of side effects such as orthostatic hypotension.","Side effects  of tricyclic drugs and antihypertensive medications","","CG66S22"
"CG87R1.14.5.4","Investigate a person with unexplained bladder-emptying problems for the possibility of autonomic neuropathy affecting the bladder.","Consider autonomic neruopathy for unexplained bladder-emptying problems","","CG66S22"
"CG87R1.14.5.5","Include in the management of autonomic neuropathy symptoms the specific interventions indicated by the manifestations (for example, for abnormal sweating or nocturnal diarrhoea).","Management of autonomic neuropathy symptoms","","CG66S22"
"CG73R1.1.1","Whenever a request for serum creatinine measurement is made, clinical 
laboratories should report an estimate of glomerular filtration rate (eGFRcreatinine) using a prediction equation (see recommendation 1.1.2) in 
addition to reporting the serum creatinine result.","GFR estimate with prediction equation","","CG73S2"
"CG73R1.1.2","Clinical laboratories should: 
? use the Chronic Kidney Disease Epidemiology Collaboration (CKD-EPI) 
creatinine equation to estimate GFR creatinine, using creatinine assays with calibration traceable to standardised reference material 
? use creatinine assays that are specific (for example, enzymatic assays) and zero-biased compared with isotope dilution mass spectrometry (IDMS) 
? participate in the UK National External Quality Assessment Service scheme for creatinine. [new 2014] 
","Estimation of GFR creatinine","","CG73S2"
"CG73R1.1.3","Apply a correction factor to GFR values estimated using the CKD-EPI creatinine equation for people of African–Caribbean or African family origin (multiply eGFR by 1.159). [new 2014] 
","GFR values and correction factor application","","CG73S2"
"CG73R1.1.4","In people with extremes of muscle mass – for example, in bodybuilders, people who have had an amputation or people with  muscle wasting disorders – interpret eGFRcreatinine with caution. (Reduced muscle mass will lead to overestimation and increased  muscle mass to underestimation of the GFR.) 
","interpretation of eGFR creatinine results for those with extremes of muscle mass","","CG73S1"
"CG73R1.1.5","Advise people not to eat any meat in the 12 hours before having a blood test for eGFRcreatinine. Avoid delaying the despatch of blood samples to ensure that they are received and processed by  the laboratory within 12 hours of venepuncture. [2008] 
","eFGR creatinine test and meat consumption","","CG73S1"
"CG73R1.1.6","Whenever a request for serum cystatin C measurement is made, clinical 
laboratories should report an estimate of glomerular filtration rate 
(eGFRcystatinC) using a prediction equation (see recommendation 5) in 
addition to reporting the serum cystatin C result. [new 2014] 
","glomerular filtration rate estimation","","CG73S1"
"CG73R1.1.7","When an improved assessment of risk is needed (see recommendation 
15), clinical laboratories should use the CKD-EPI cystatin C equation to 
estimate GFRcystatinC. [new 2014] 
","use of CKD-EPI cystatin C equation","","CG73S1"
"CG73R1.1.8","Clinical laboratories should use cystatin C assays calibrated to the 
international standard to measure serum cystatin C for cystatin C-based 
estimates of GFR. [new 2014] 
","Calibration of cystatin C assays","","CG73S1"
"CG73R1.1.9"," Interpret eGFRcystatinC with caution in people with uncontrolled thyroid disease as eGFRcystatinC values may be falsely elevated in people with hypothyroidism and reduced in people with  hyperthyroidism. [new 2014] 
","eGFR cystatin C results in those with uncontrolled thyroid disease","","CG73S1"
"CG73R1.1.10","Clinical laboratories should report GFR either as a whole number if it is 
90 ml/min/1.73 m or less, or as ‘greater than 90 ml/min/1.73 m [new 
2014] ","Reporting GFR as whole number","","CG73S1"
"CG73R1.1.11","If GFR is greater than 90 ml/min/1.73 m use an increase in serum creatinine concentration of more than 20% to infer significant reduction in renal function. [new 2014] 
","Inferring reduction in renal function","","CG73S1"
"CG73R1.1.12","Interpret reported values of eGFR =60 ml/min/1.73m2with caution, bearing in mind that estimates of GFR become less accurate as the true GFR increases.","Interpreting with caution","","CG73S1"
"CG73R1.1.13","Confirm an eGFR result of less than 60 ml/min/1.73 m in a person not previously tested by repeating the test within 2 weeks. Allow for biological and analytical variability of serum creatinine (±5%) when interpreting changes in eGFR. [2008] 
","Confirmation of low eGFR result","","CG73S1"
"CG73R1.1.14","Consider using eGFRcystatinC to confirm the diagnosis of CKD in people with: 
? an eGFRcreatinine of 45–59 ml/min/1.73 m2, sustained for at least 90 days and 
? no proteinuria (albumin:creatinine ratio [ACR] less than 3 mg/mmol).","Confirmation of CKD","","CG73S1"
"CG73R1.1.15","Do not diagnose CKD in people with: 
? an eGFRcreatinine of 45–59 ml/min/1.73 m2 and 
? an eGFRcystatinC of more than 60 ml/min/1.73 m2 and 
? no other marker of kidney disease7. [new 2014] 
","When not to diganose CKD","","CG73S1"
"CG73R1.1.16","Where a highly accurate measure of GFR is required – for example, during monitoring of chemotherapy and in the evaluation of renal function in potential living donors – consider a reference standard measure (inulin, 51Cr-EDTA, 125I-iothalamate or iohexol). [2008] 
","Reference standard measures where highly accurate eGFR required","","CG73S1"
"CG73R1.1.17","Do not use reagent strips to identify proteinuria unless they are capable of specifically measuring albumin at low concentrations and expressing the result as an ACR .","Use of  reageant strips to identify proteinuria","","CG73S3"
"CG73R1.1.18","To detect and identify proteinuria, use urine albumin:creatinine ratio (ACR) in preference, as it has greater sensitivity than protein:creatinine ratio (PCR) for low levels of proteinuria. For quantification and monitoring of proteinuria, PCR can be used as an alternative. ACR is the recommended method for people with diabetes.","Use of ACR to detect proteinuria","","CG73S3"
"CG73R1.1.19","For the initial detection of proteinuria, if the ACR is 30 mg/mmol or more (this is approximately equivalent to PCR 50 mg/mmol or more, or a urinary protein excretion 0.5 g/24 h or more) and less than 70 mg/mmol (approximately equivalent to PCR less than 100 mg/mmol, or urinary protein excretion less than 1 g/24 h) this should be confirmed by a subsequent early morning sample. If the initial ACR is 70 mg/mmol or more, or the PCR 100 mg/mmol or more, a repeat sample need not be tested","Initial detection of proteinuria","","CG73S3"
"CG73R1.1.20","Regard a confirmed ACR of 3 mg/mmol or more as clinically  important proteinuria.","Clinically important proteinuria level","","CG73S3"
"CG73R1.1.20","Regard a confirmed ACR of 3 mg/mmol or more as clinically  important proteinuria.","Clinically important proteinuria level","",""
"CG73R1.1.20","Regard a confirmed ACR of 3 mg/mmol or more as clinically  important proteinuria.","Clinically important proteinuria level","",""
"CG73R1.1.21","Quantify urinary albumin or urinary protein loss as in recommendation 1.1.18 for: 
? people with diabetes 
? people without diabetes with a GFR less than 60 ml/min/1.73 m2. 
[2008, amended 2014] ","Quantification of urinary albumin or urinary protein loss","","CG73S3"
"CG73R1.1.22","Quantify by laboratory testing the urinary albumin or urinary protein loss of people with a GFR of 60 ml/min/1.73 m2 or more if there is a strong suspicion of CKD (see also recommendation 1.1.28). [2008] ","When to quantify urinary albumin or urinary protein loss","","CG73S3"
"CG73R1.1.23","When testing for the presence of haematuria, use reagent strips rather than urine microscopy.
? Evaluate further if there is a result of 1+ or more. 
? Do not use urine microscopy to confirm a positive result","Use of reagent strips for presence of haematuria","","CG73S3"
"CG73R1.1.24","When there is the need to differentiate persistent invisible haematuria in the absence of proteinuria from transient haematuria, regard 2 out of 3 positive reagent strip tests as confirmation of persistent invisible haematuria. ","Confirmation of persistent invisible haematuria","","CG73S3"
"CG73R1.1.25","Persistent invisible haematuria, with or without proteinuria, should prompt investigation for urinary tract malignancy in appropriate age groups.","Investigation for urinary tract malignancy","","CG73S3"
"CG73R1.1.26","Persistent invisible haematuria in the absence of proteinuria should be followed up annually with repeat testing for haematuria (see recommendations 1.1.24 and 1.1.25), proteinuria or albuminuria, GFR and blood pressure monitoring as long as the haematuria persists. [2008] 
","Follow up of persistent invisible haematuria","",""
"CG73R1.1.27","Monitor glomerular filtration rate (GFR) in people prescribed drugs known to be
nephrotoxic, such as calcineurin inhibitors and lithium. Check GFR at least annually in
people receiving long-term systemic non-steroidal anti-inflammatory drug (NSAID)
treatment","Monitoring of glomerular filtration rate","","CG73S7"
"CG73R1.1.28","Offer people testing for CKD if they have any of the following risk factors: 
diabetes 
? hypertension 
? acute kidney injury (see recommendation 1.3.8) 
? cardiovascular disease (ischaemic heart disease, chronic heart failure, peripheral vascular disease or cerebral vascular disease) 
? structural renal tract disease, renal calculi or prostatic hypertrophy 
? multisystem diseases with potential kidney involvement - for example, systemic lupus erythematosus 
? family history of stage 5 CKD or hereditary kidney disease 
? opportunistic detection of haematuria. [new 2014]
 
","When to offer testing for CKD","","CG73S7"
"CG73R1.1.29","Do not use age, gender or ethnicity as risk markers to test people for CKD. In the absence of metabolic syndrome, diabetes or hypertension, do not use obesity alone as a risk marker to test people for CKD. [2008, amended 2014] 
","Risk markers and CKD","","CG73S7"
"CG73R1.2.1","Classify CKD using a combination of GFR and ACR categories (as described in table 1). Be aware that: 
? increased ACR is associated with increased risk of progression 
? decreased GFR is associated with increased risk of progression 
? increased ACR and decreased GFR in combination multiply the risk of progression. [new 2014] 
","Classification of CKD","","CG73S7"
"CG73R1.2.2","For any given stage of CKD, do not determine management solely  by age. [new 2014] 
","Management of CKD and age","","CG73S7"
"CG73R1.2.3","After an informed discussion with the person with CKD, agree a plan to establish the cause (for example urinary tract obstruction,  nephrotoxic drugs or glomerular disease). [new 2014] 
","Discussion to establish cause of CKD","","CG73S8"
"CG73R1.2.4","Use the person’s GFR and ACR categories (see table 1) to indicate their risk of adverse outcomes (for example, CKD progression, acute kidney injury, all-cause mortality and cardiovascular events)  and discuss this with them. [new 2014] 
","Discussion of risk of adverse outcomes","",""
"CG73R1.2.5","Offer a renal ultrasound to all people with CKD who: 
? have progressive CKD (a sustained decrease in GFR of 25% or more and a change in GFR category, or a sustained decrease in GFR of 15 ml/min/1.73 m2 or more) 
? have visible or persistent invisible haematuria 
? have symptoms of urinary tract obstruction 
? have a family history of polycystic kidney disease and are aged over 20 years 
? have stage 4 or 5 CKD 
? are considered by a nephrologist to require a renal biopsy. [2008, amended 2014]","When to offer renal ultrasound","","CG73S5"
"CG73R1.2.6","Advise people with a family history of inherited kidney disease about the implications of an abnormal result before a renal ultrasound scan is arranged for them.","Family history and CKD","","CG73S5"
"CG73R1.1.16","All people with diabetes, and people without diabetes with a GFR less than 60 ml/min/1.73 m2, should have their urinary albumin/protein excretion quantified. The first abnormal result should be confirmed on an early morning sample (if not previously obtained).","Quantifiction of urinary albumin/protein excretion","","CG73S4"
"CG73R1.5.1","Take the following steps to identify progressive CKD:
? Obtain a minimum of three glomerular filtration rate (GFR) estimations over a period of not less than 90 days.
? In people with a new finding of reduced eGFR, repeat the estimated glomerular filtration rate (eGFR) within 2 weeks to exclude causes of acute deterioration of GFR, e.g. acute kidney injury or initiation of ACEI/ARB therapy ? Define progression as a decline in eGFR of >5 ml/min/1.73 m2 within one year, or
>10 ml/min/1.73 m2 within 5 years
? Focus particularly on those in whom a decline of GFR continuing at the observed rate would lead to the need for renal replacement therapy within their lifetime by extrapolating the current rate of decline.

","Identification of progressive CKD","","CG73S9"
