"Audit ID","Recommendation GUID","AuditCriteria","NumberFulfill","TotalNumber","PercentAchiev","Notes","AuditInfoSourceID","AuditDate"
"381","CG60R1.4.1","Patients who had VT insertion and fulfilled the ‘core’ criteria of 2 audiograms > 3 months apart AND hearing level in better ear of 25-30 NHL or worse","47","146","32.19","","78","31-Dec-08"
"382","CG60R1.4.1","Patients who had VT insertion who had 2 audiograms > 3 months apart","80","146","54.79","","78","31-Dec-08"
"383","CG60R1.4.1","Patients who had VT insertion who had hearing 25 NHL or worse in better ear","135","146","92.47","","78","31-Dec-08"
"384","CG60R1.4.2","Patients who had VT insertion who fulfilled the exceptional cases criteria","72","148","48.65","","78","31-Dec-06"
"385","CG60R1.4.2","Patients who had VT insertion who fulfilled the exceptional cases criteria","80","127","62.99","","78","31-Dec-08"
"386","CG60R1.5.1","Patients who had VT insertion who also had adenoidectomy","37","173","21.39","32/37 did not have an OME reason for the adenoidectomy","78","31-Dec-06"
"387","CG60R1.5.1","Patients who had VT insertion who also had adenoidectomy","29","146","19.86","21/29 did not have an OME reason for the adenoidectomy","78","31-Dec-08"
"388","CG58R1.3.3","Oncologists who agree or strongly agree with this recommendation","","61","51.00","","79","31-Dec-08"
"389","CG58R1.3.3","Oncologists who agree or strongly agree with this recommendation","","77","80.00","","79","31-Dec-10"
"390","CG58R1.3.3","Oncologists who said this recommendation was followed in over 90% of their patients","","77","18.00","","79","31-Dec-10"
"391","CG58R1.3.15","Oncologists who agree or strongly agree with this recommendation","","61","63.00","","79","31-Dec-08"
"392","CG58R1.3.15","Oncologists who agree or strongly agree with this recommendation","","77","78.00","","79","31-Dec-10"
"393","CG58R1.3.15","Oncologists who said this recommendation was followed in over 90% of their patients","","77","58.00","","79","31-Dec-10"
"394","CG58R1.3.17","Oncologists who agree or strongly agree with this recommendation","","61","82.00","","79","31-Dec-08"
"395","CG58R1.3.17","Oncologists who agree or strongly agree with this recommendation","","77","96.00","","79","31-Dec-10"
"396","CG58R1.3.17","Oncologists who said this recommendation was followed in over 90% of their patients","","77","75.00","","79","31-Dec-10"
"397","CG58R1.4.3","Oncologists who agree or strongly agree with this recommendation","","61","26.00","","79","31-Dec-08"
"398","CG58R1.4.3","Oncologists who agree or strongly agree with this recommendation","","77","38.00","","79","31-Dec-10"
"399","CG58R1.4.3","Oncologists who said this recommendation was followed in over 90% of their patients","","77","10.00","","79","31-Dec-10"
"400","CG58R1.3.23","Oncologists who agree or strongly agree with this recommendation","","61","44.00","","79","31-Dec-08"
"401","CG58R1.3.23","Oncologists who agree or strongly agree with this recommendation","","77","59.00","","79","31-Dec-10"
"402","CG58R1.3.23","Oncologists who said this recommendation was followed in over 90% of their patients","","77","9.00","","79","31-Dec-10"
"403","CG58R1.5.2","Oncologists who agree or strongly agree with this recommendation","","61","56.00","","79","31-Dec-08"
"404","CG58R1.5.2","Oncologists who agree or strongly agree with this recommendation","","77","80.00","","79","31-Dec-10"
"405","CG58R1.5.2","Oncologists who said this recommendation was followed in over 90% of their patients","","77","76.00","","79","31-Dec-10"
"406","CG58R1.5.4","Oncologists who agree or strongly agree with this recommendation","","61","56.00","","79","31-Dec-08"
"407","CG58R1.5.4","Oncologists who agree or strongly agree with this recommendation","","77","96.00","","79","31-Dec-10"
"408","CG58R1.5.4","Oncologists who said this recommendation was followed in over 90% of their patients","","77","35.00","","79","31-Dec-10"
"409","CG58R1.5.4","Oncologists who agree or strongly agree with this recommendation","","61","60.00","","79","31-Dec-08"
"410","CG58R1.5.4","Oncologists who agree or strongly agree with this recommendation","","77","73.00","","79","31-Dec-10"
"411","CG58R1.5.4","Oncologists who said this recommendation was followed in over 90% of their patients","","77","40.00","","79","31-Dec-10"
"412","CG58R1.3.16","Oncologists who agree or strongly agree with this recommendation","","61","92.00","","79","31-Dec-08"
"413","CG58R1.3.16","Oncologists who agree or strongly agree with this recommendation","","77","97.00","","79","31-Dec-10"
"414","CG58R1.3.16","Oncologists who said this recommendation was followed in over 90% of their patients","","77","79.00","","79","31-Dec-10"
"415","CG58R1.6.5","Oncologists who agree or strongly agree with this recommendation","","61","92.00","","79","31-Dec-08"
"416","CG58R1.6.5","Oncologists who agree or strongly agree with this recommendation","","77","97.00","","79","31-Dec-10"
"417","CG58R1.6.5","Oncologists who said this recommendation was followed in over 90% of their patients","","77","14.00","","79","31-Dec-10"
"418","CG58R1.7.1","Oncologists who agree or strongly agree with this recommendation","","61","92.00","","79","31-Dec-08"
"419","CG58R1.7.1","Oncologists who agree or strongly agree with this recommendation","","77","97.00","","79","31-Dec-10"
"420","CG58R1.7.1","Oncologists who said this recommendation was followed in over 90% of their patients","","77","7.00","","79","31-Dec-10"
"421","CG58R1.7.2","Oncologists who agree or strongly agree with this recommendation","","61","87.00","","79","31-Dec-08"
"422","CG58R1.7.2","Oncologists who agree or strongly agree with this recommendation","","77","95.00","","79","31-Dec-10"
"423","CG58R1.7.2","Oncologists who said this recommendation was followed in over 90% of their patients","","77","20.00","","79","31-Dec-10"
"424","CG58R1.7.5","Oncologists who agree or strongly agree with this recommendation","","61","87.00","","79","31-Dec-08"
"425","CG58R1.7.5","Oncologists who agree or strongly agree with this recommendation","","77","95.00","","79","31-Dec-10"
"426","CG58R1.7.7","Oncologists who agree or strongly agree with this recommendation","","61","59.00","","79","31-Dec-08"
"427","CG58R1.7.7","Oncologists who agree or strongly agree with this recommendation","","77","63.00","","79","31-Dec-10"
"428","CG58R1.7.7","Oncologists who said this recommendation was followed in over 90% of their patients","","77","23.00","","79","31-Dec-10"
"429","CG58R1.7.13","Oncologists who agree or strongly agree with this recommendation","","61","35.00","","79","31-Dec-08"
"430","CG58R1.7.13","Oncologists who agree or strongly agree with this recommendation","","77","27.00","","79","31-Dec-10"
"431","CG58R1.7.13","Oncologists who said this recommendation was followed in over 90% of their patients","","77","25.00","","79","31-Dec-10"
"432","CG58R1.7.14","Oncologists who agree or strongly agree with this recommendation","","61","64.00","","79","31-Dec-08"
"433","CG58R1.7.14","Oncologists who agree or strongly agree with this recommendation","","77","78.00","","79","31-Dec-10"
"434","CG58R1.7.14","Oncologists who said this recommendation was followed in over 90% of their patients","","77","38.00","","79","31-Dec-10"
"435","CG58R1.7.17","Oncologists who agree or strongly agree with this recommendation","","61","68.00","","79","31-Dec-08"
"436","CG58R1.7.17","Oncologists who agree or strongly agree with this recommendation","","77","49.00","","79","31-Dec-10"
"437","CG58R1.7.17","Oncologists who said this recommendation was followed in over 90% of their patients","","77","37.00","","79","31-Dec-10"
"438","CG58R1.7.19","Oncologists who agree or strongly agree with this recommendation","","61","67.00","","79","31-Dec-08"
"439","CG58R1.7.19","Oncologists who agree or strongly agree with this recommendation","","77","60.00","","79","31-Dec-10"
"440","CG58R1.7.19","Oncologists who said this recommendation was followed in over 90% of their patients","","77","59.00","","79","31-Dec-10"
"441","CG32R1.2.2","Patients who were screened for malnutrition on admission using MUST","191","262","72.90","","80",""
"442","CG87R1.3.2","Patients with T2DM who had their HBA1c checked within the last year","","1033","98.30","","81",""
"443","CG87R1.8.1","Patients who had their bloood pressure checked within the last year","","1033","99.10","","81",""
"444","CG87R1.10.1.5","Patients with T2DM who had total cholesterol < 4.0 mmol/litre","","1033","45.50","","81",""
"446","TA64RGeneral","Patients who were started on GH after TA64 who met all of the criteria","26","69","37.68","","82","31-Mar-08"
"447","TA64RGeneral","Patients who were started on GH before TA64 who met all of the criteria","15","139","10.79","There were 108 patient with GH deficiency that were not taking GH. Reasons for not being on GH are outlined in the orginal paper","82","31-Mar-08"
"448","TA64R1.1","Patients who started GH prior to TA64 who had a dynamic GH stimulation test that fulfilled the recommendation","122","139","87.77","","82","31-Mar-08"
"449","TA64R1.1","Patients who started GH after to TA64 who had a dynamic GH stimulation test that fulfilled the recommendation","61","69","88.41","","82","31-Mar-08"
"451","TA64R1.1","Patients who started GH prior to TA64 who had formal QoL assessment","51","139","36.69","12/51 patients who started GH prior to TA64 and had a formal score, had a QoL-AGHDA score of <11
7 of these were perceived to have low QoL and 5 had low bone mineral desnity","82","31-Mar-08"
"452","TA64R1.1","Patients who started GH after to TA64 who had formal QoL assessment","60","69","86.96","6/60 patients who started GH after TA64 and had a forma score, had a QoL-AGHDA score of <11. 
3 of these had previously been on GH and noticed a significant deterioration in quality of life, the other 3 had QoL scores close to 11 and was felt by the treat","82","31-Mar-08"
"453","TA64R1.2","Patients who started GH prior to TA64 had a >7 point drop in AGHDA score","17","139","12.23","","82","31-Mar-08"
"454","TA64R1.2","Patients who started GH after TA64 had a >7 point drop in AGHDA score","28","69","40.58","24 patients had a <7 point improvement in their score but were continued on GH. Of these 5 had AGHDA >20 and one had AGHDA >25","82","31-Mar-08"
"455","CG64RGeneral","Dentists that use the NICE guidance","564","596","94.63","","84","30-Apr-12"
"457","CG64RGeneral","Cardiologists or cardiothoracic surgeons use the NICE guideline preferentially","164","302","54.30","","84","30-Apr-12"
"458","CG85R1.1.1","Goldmann tonometry assessment at diagnosis","25","25","100.00","","87","31-Dec-09"
"459","CG85R1.1.1","Central corneal thickness assessment assessed at diagnosis","","25","64.00","","87","31-Dec-09"
"460","CG85R1.1.1","Gonioscopy assessment at diagnosis","","25","76.00","","87","31-Dec-09"
"461","CG85R1.1.1","Optic disc assessment assessed using dilatation at diagnosis","","25","32.00","96% overall had an optic disc assessment but dilatation was only used in for 32% of the patient group overall","87","31-Dec-09"
"462","CG65R1.3.6","Patients who had fluid of 500 ml or more warmed","19","105","0.18","31/86 of those that did not receive fluid warming arrived in recovery with temp <36.0. 1/19 patients who had fluid warming was found to be hypothermic in recovery (Statistically significant with p<0.05)","90",""
"463","CG65R1.3.8","Number of patients who had forced air warming","80","104","76.92","23/80 (29%) patients who had forced air warming were hypothermic on arrival in recovery. 9/24 (38% patients who did not get forced air warming were hypothermic on arrival in recovery (No statistical difference)","90",""
"464","CG19R1.1.5","Dentists who always or mostly follow the NICE guidance","112","131","85.50","","91","30-Sep-11"
"465","CG19R1.1.3","Dentists that always or mostly carry our disease risk assessments for adults","108","131","82.44","","91","30-Sep-11"
"466","CG19R1.1.3","Dentists that always or mostly carry our disease risk assessments for children","112","131","85.50","","91","30-Sep-11"
"467","CG19R1.1.3","Dentists that always or mostly record the patients disease risk","79","131","60.31","","91","30-Sep-11"
"468","CG108R1.1.1.1","Access with echo or other ‘NICE recommended’ imaging","","","86.00","","2","30-Mar-12"
"470","Invalid","Patients who were discussed at an MDT","26928","27692","97.24","","12","31-Jul-10"
"471","Invalid","Patients who were discussed at an MDT","","","98.00","","11","31-Jul-11"
"472","Invalid","Patients who were discussed at an MDT","","","97.80","","10","30-Mar-12"
"473","CG42R1.1.11.2","Hospitals that reported having access to liaison psychiatry service","198","210","94.29","Of the 198 that had liaison services

162/198 (82%) of hospitals had a named Consultant Psychiatrist Lead
135/198 (68%)of hospitals  had a Consultant Psychiatrist Lead with dedicated time and specialising in the care of older people
189/298 (96%) of hospi","13","31-Oct-12"
"474","CG42R1.1.11.2","Of those hospitals with a liaison service, those able to provide an emergency or urgent assessment","168","198","84.85","","13","31-Oct-12"
"475","CG42R1.1.11.2","Assessed case notes that contained a referral to liaison psychiatry","1297","7916","16.38","629/1291 (49%) contained  information about the urgency of the referral
315/1291 (24%) notes did not show documented evidence of response times","13","31-Oct-12"
"476","CG80R1.4.1","Patients who had positive SNLB who had SNLB as their only axillary procedure","74","145","51.03","","93","31-Dec-08"
"477","CG80R1.4.1","Patients who had positive SNLB who had SNLB as their only axillary procedure","102","126","80.95","","93","31-Dec-10"
"478","PH1R5","Patients who had smoking status recorded","","","85.00","","94",""
"479","PH1R5","Smoker who were provided with cessation advice","","","30.00","","94",""
"480","PH1R5","Smokers who were reffered to 'quitters'","","","7.00","","94",""
"481","CG16R1.4.1.5","Patients who had a psychosocial assessment undertaken by mental health specialist","","7689","57.00","Range was 24-88% of presnetations
3109/4075 by nurse
799 by psychiatrist (any grade)
167 by another professional, e.g. social worker

Further details about types of harm (e.g. cutting / strangulation) and whether the patient was admitted or not, and rates","100","30-Jun-11"
"482","CG16R1.8","Patients who had Specialist Mental Health Follow Up","","7599","38.00","A previous audit that is referenced in the study from 2012 showed 51% follow up","100","30-Jun-11"
"483","CG43R1.2.3.10","Children with autism spectrum disorder who were referred to the local healthy lifestyle programme","","77","18.00","The abstract states that the local programme may have been inappropriate for all children with ASD","101",""
"484","CG43R1.2.3.10","Overweight children with autism spectrum disorder who were referred to the dietician","","77","86.00","","101",""
"485","CG43R1.2.2.4","Children with autism spectrum disorder who had BMI calculated","","77","5.00","","101",""
"486","CG43R1.2.4.1","Discussion with parents about weight that took place for children with autism spectrum disorder","","77","95.00","","101",""
"487","CG43R1.2.4.1","Advice on diet took place for children with autism spectrum disorder","","77","77.00","","101",""
"488","CG43R1.2.4.1","Children with autism spectrum disorder that had their weight checked regularly","","77","91.00","","101",""
"489","CG38R1.6.2.17","Clinical discussion about risk of valproate with women aged 45 or less at initiation of therapy","","","70.00","","103","31-Jul-05"
"490","CG38R1.6.2.17","Clinical discussion about risk of valproate with women aged 45 or less at initiation of therapy","","","35.00","Barriers to discussion were low confidence amongst prescribers, lack of knowledge of appropriate information, only giving partial information. Only 35% communicated the nature of the discussion to the GP","103","31-Oct-12"
"491","CG38R1.6.2.17","Clinical discussion about risk of valproate with women aged 45 or less at follow up","","","50.00","","103","31-Jul-05"
"492","CG38R1.6.2.17","Clinical discussion about risk of valproate with women aged 45 or less at follow up","","","22.00","Barriers to discussion were low confidence amongst prescribers, lack of knowledge of appropriate information, only giving partial information. Only 35% communicated the nature of the discussion to the GP","103","31-Oct-12"
"493","CG19R1.1.5","Patients with cystic fibrosis who were seen within the maximum recommended limit of 12 months","39","40","97.50","","104",""
"494","CG54R1.1.1.1","Cases in primary care that had urine tested within 24 hours","","","34.00","","105",""
"495","CG54R1.1.1.1","Cases in secondary care that had urine tested within 24 hours","","","35.00","this is the only timeframe I can find for testing. Table 3 of the guidance refers to urgent testing","105",""
"496","CG54R1.2.1.2","Infants < 3months with suspected UTI who were referred appropriately to specialist services","","","84.00","","105",""
"497","CG54R1.2.1.2","Infants < 3months with UTI who were treated appropriately with parenteral antibiotics","","","52.00","","105",""
"498","CG90R1.5.2.2","Prescriptions for current episode of depression that were SSRI","","","85.00","70% of prescriptions for previous episode were SSRI","106","31-Dec-08"
"499","CG90R1.5.2.1","329 Antidepressant prescriptions that had side effects discussed","82","349","23.50","Aduit data is presented in reverse as:
247/329 Antidepressant prescriptions that did not have side effects discussed","106","31-Dec-08"
"500","CG90R1.5.2.10","Antidepressant prescriptions where the teratemnt resposne was documented","204","329","62.01","Audit is reprted as:
125/329 Antidepressant prescriptions where no treatment response was recorded","106","31-Dec-08"
"501","CG90R1.4.4.1","Patients who received both pharmacological and non-pharacological treatments for their depression","49","181","27.07","Notes: 93/181 Patients who received only antidepressant therapy and no psychological interventions","106","31-Dec-08"
"502","CG87R1.10.1.1","Patients who had waist circumference checked in the last 12 months","","","33.40","","107",""
"503","CG87R1.13.1","Patients who had their eyes screened in the last 12 months","","","74.80","","107",""
"504","CG87R1.12.1","Patients who had urine checked for microalbuminuria in the last 12 months","","","59.40","","107",""
"505","CG87R1.12.3","Patients with type 2 diabetes who had their creatinine checked in the last 12 months","","","85.20","","107",""
"506","CG87R1.9.4","Patients who had total cholesterol checked in the last 12 months","","","93.40","","107",""
"507","CG87R1.9.4","Patients who had LDL checked in the last 12 months","","","82.00","","107",""
"508","CG87R1.9.4","Patients who had HDL checked in the last 12 months","","","86.10","","107",""
"509","CG87R1.10.1.6","Patients with T2DM who have a total cholesterol <4.0","","","30.00","","107",""
"510","CG10R1.1.2.1","Patients who had foot pulses checked within the last 12 months","","","73.10","","107",""
"511","CG10R1.1.2.1","Patients who had foot sensation checked in the last 12 months","","","67.10","","107",""
"512","TA177R","Patients receiving aliretinoin who fulfilled both the criteria","21","28","75.00","","108","31-Dec-12"
"513","CG57R1.5.1.2","Parents / carers / children who were given information on how to recognise flare ups","34","50","68.00","","109","31-Dec-09"
"514","CG57R1.5.1.2","Parents / carers / children who were given information on how to recognise flare ups","48","50","96.00","","109","31-Dec-12"
"515","CG57R1.5.7.1","Parents / Carers / Children given advice on how to recognise infected eczema","12","50","24.00","","109","31-Dec-09"
"516","CG57R1.5.7.1","Parents / Carers / Children given advice on how to recognise infected eczema","48","50","96.00","","109","31-Dec-12"
"517","CG57R1.5.7.12","Parents / Carers / Children given advice on how to recognise eczema herpeticum","2","50","4.00","","109","31-Dec-09"
"518","CG57R1.5.7.12","Parents / Carers / Children given advice on how to recognise eczema herpeticum","48","50","96.00","","109","31-Dec-12"
"519","CG42R1.2.1.2","Hospitals that had a process in place to regularly review hospital discharge policy and procedures for people with dementia","113","210","53.81","","13","31-Oct-12"
"520","CG138R1.3.1","Case notes that had evidence that a discussion had taken place with the PATIENT with regard to discharge planning","2796","4944","56.55","Cross ref CG42 1.1.1.5","13","31-Oct-12"
"521","CG138R1.3.1","Case notes that had evidence that a discussion had taken place with the CARER with regard to discharge planning","4506","5625","80.11","Cross ref CG42 1.1.1.5","13","31-Oct-12"
"522","CG138R1.4.3","Patients who had persistent behavioural and psychiatric symptoms of dementia who had those symptoms summarised for discharge","646","1494","43.24","","13","31-Oct-12"
"523","CG42R1.1.4.3","Hospitals that reported having clear guidelines on making sure the carer know what information will be shared with them","138","210","65.71","","13","31-Oct-12"
"524","CG42R1.1.7.3","Hospitals have a system to ensure carers are advised about obtaining a carers assessment","141","210","67.14","","13","31-Oct-12"
"525","CG42R1.1.7.3","Case notes analysed that had a record of the assessment of the carers current needs","2337","3258","0.00","","13","31-Oct-12"
"526","CG42R1.1.9.1","Hospitals that had a training and knowledge framework that identifies necessary skill development","164","210","78.10","","13","31-Oct-12"
"527","CG42R1.1.9.1","Hospitals reported staff induction programmes that include dementia awareness","124","210","59.05","44/209 hospitals had not provided dementia awareness training for doctors in the 12 months prior to data collection","13","31-Oct-12"
"528","CG42R1.1.9.4","Hospitals reporting mental health liaison teams providing training for ward staff","136","210","64.76","","13","31-Oct-12"
"529","CG121R1.3.32","Patient discussed at MDT (England + Wales)","","","94.10","Page 28&30","114","06-Jul-09"
"530","CG121R1.3.32","Patient discussed at MDT (England + Wales)","","","96.40","Page 28","113","06-Jul-10"
"531","CG121R1.3.32","Patient discussed at MDT (England + Wales)","","","96.20","Page 28&41","112","06-Jul-11"
"532","CG121R1.2.2","Seen by lung cancer nurse specialist (England and Wales)","","","64.40","","114","06-Jul-09"
"533","CG121R1.2.2","Seen by lung cancer nurse specialist (England and Wales)","","","75.40","","113","06-Jul-10"
"534","CG121R1.2.2","Seen by lung cancer nurse specialist (England and Wales)","","","79.60","","112","06-Jul-11"
"535","CG121R1.2.2","Nurse specialist present at diagnosis (England and Wales)","","","55.10","","112","06-Jul-11"
"536","CG121R1.2.2","Nurse specialist present at diagnosis (England and Wales)","","","48.00","","113","06-Jul-10"
"537","CG121R1.2.2","Nurse specialist present at diagnosis (England and Wales)","","","38.30","","114","06-Jul-09"
"538","CG121R1.3.13","CT performed before bronchosopy (England and Wales)","","","80.70","","114","06-Jul-09"
"539","CG121R1.3.13","CT performed before bronchosopy (England and Wales)","","","84.80","","113","06-Jul-10"
"540","CG121R1.3.13","CT performed before bronchosopy (England and Wales)","","","87.80","","112","06-Jul-11"
"541","CG35R1.4.2.1","Patients with a new (< 1 year) diagnosis of Parkinson’s who were on Levodopa + PDI prescribed by neurologists","136","281","48.40","","115","30-Nov-11"
"542","CG35R1.4.2.1","Patients with a new (< 1 year) diagnosis of Parkinson’s who were on Levodopa + PDI prescribed  by elderly care physicians","225","386","58.29","","115","30-Nov-11"
"543","CG35R1.4.3.1","Patients with a new (< 1 year) diagnosis of Parkinson’s who were on dopamine agonists prescribed by neurologists","68","281","24.20","","115","30-Nov-11"
"544","CG35R1.4.3.1","patients with a new (< 1 year) diagnosis of Parkinson’s who were on dopamine agonists prescribed  by elderly care physicians","60","386","15.54","","115","30-Nov-11"
"545","CG35R1.4.4.1","Patients with a new (< 1 year) diagnosis of Parkinson’s who were on MAOB inhibitors prescribed by neurologists","38","281","13.52","","115","30-Nov-11"
"546","CG35R1.4.4.1","Patients with a new (< 1 year) diagnosis of Parkinson’s who were on MAOB inhibitors prescribed by elederly care physicians","20","386","5.18","","115","30-Nov-11"
"547","CG35R1.4.6.1","Patients with a new (< 1 year) diagnosis of Parkinson’s who were on Amantadine","4","667","0.60","","115","30-Nov-11"
"548","CG35R1.4.1","Newly diagnosed patients who were reported as being compliant with NICE guidelines by audit participants","431","494","0.00","This was self reported by the audit particpants","115","30-Nov-11"
"549","CG35R1.5.1","Existing  patients who were reported as being compliant with NICE guidelines by audit participants","923","939","98.30","This was self reported by the audit particpants","115","30-Nov-11"
"550","CG35R1.2.4.1","Proportion of PD patients under neurologists who have had medical review within last year","","","89.00","From full guideline: The GDG considered that people diagnosed with PD should be seen at regular intervals of 6–12 months to review their diagnosis","115","30-Nov-11"
"551","CG35R1.2.4.1","Proportion of PD patients under elderly care team who have had medical review within last year","","","94.00","From full guideline: The GDG considered that people diagnosed with PD should be seen at regular intervals of 6–12 months to review their diagnosis","115","30-Nov-11"
"552","CG35R1.2.4.1","Proportion of services that keep their patients under 6-12 month review","","","94.00","","115","30-Nov-11"
"553","CG35R1.2.4.1","Propportion of audited services that can provide specialist review at home","","","46.00","","115","30-Nov-11"
"554","CG35R1.1.1.6","Patients with PD under care of neurologists who had seen a PD nurse specialist in the last year","","","79.00","Failure to refer (7%) or lack of services (9%) meant 16% of neurology patients were not seeing a nurse specialist

Failure to refer (10%) or lack of services (12%) meant 22% of elderly care patients were not seeing a nurse specialist

Cross referencing su","115","30-Nov-11"
"555","CG35R1.1.1.6","Patients with PD under care of elderly care who had seen a PD nurse specialist in the last year","","","68.00","Failure to refer (7%) or lack of services (9%) meant 16% of neurology patients were not seeing a nurse specialist

Failure to refer (10%) or lack of services (12%) meant 22% of elderly care patients were not seeing a nurse specialist

Cross referencing su","115","30-Nov-11"
"556","CG35R1.1.1.6","Newly diagnosed patients who were offered PD nurse specialist contact","","","62.00","Neurology 64%
Elderly care 59%
No service was available to 17% of neurology patients and 23% of elderly care patients","115","30-Nov-11"
"557","CG35R1.1.1.6","Services that have equitable access to PD nurse specialist","","","75.00","Availability may be limited by the commissioning area the patient comes from","115","30-Nov-11"
"558","CG35R1.2.2.1","Patients who were referred untreated","","","93.00","95% of referrals to neurology were untreated
89% of referrals to elderly care were untreated","115","30-Nov-11"
"559","CG35R1.2.2.1","Patients who were seen within 6 weeks of referral","","","69.00","58% Neurology patients were seen within 6 weeks of referral
78% Elderly care patients were seen within 6 weeks of referral","115","30-Nov-11"
"560","CG35R1.2.2.1","Audited Trusts that reported having a movement disorders clinic  or specialist parkinson’s clinic","","","50.00","","115","30-Nov-11"
"561","CG35R1.1.1.3","Patients who were provided with written information","","","61.00","Neurology 57% patients were provided with written information
Elderly Care 64% patients were provided with written information","115","30-Nov-11"
"562","CG35R1.1.1.7","Pateitns who had driving status documented","","","70.00","69% Neurology patients
71% Elderly care patients","115","30-Nov-11"
"563","CG35R1.1.1.7","Patients who had DVLA/car insurance discussed","","","54.00","","115","30-Nov-11"
"564","CG35R1.6.1.4","New patients who being monitored for impulsive / compulsive behaviour","182","216","84.26","107/118 (90.7%) Neurology patients
75/98 (76.5%) Elderly care patients","115","30-Nov-11"
"565","CG35R1.6.1.4","Existing patients who being monitored for impulsive / compulsive behaviour","880","1214","72.49","445/600 (74.2%) Neurology patients
435/614 (70.8%) Elderly care patients","115","30-Nov-11"
"566","CG35R1.8.2.4","Patients with daytime sleepiness who were advised not to drive","","","80.00","81% of neurology patients
78% of elderly care patients","115","30-Nov-11"
"567","CG35R1.4.3.3","Patients on long-term ergot dopamine who were being monitored as per the guidelines","","","60.00","","115","30-Nov-11"
"568","CG35R1.4.3.3","Patients started on ergot  dopamine in the last year who had undergone the recommended baseline tests","0","9","0.00","","115","30-Nov-11"
"569","CG35R1.10.1.1","Patients where a discussion was documented","42","79","53.16","Audit standard only considered against those considered to be in a palliative phase

64% Neurology
47% Elderly Care","115","30-Nov-11"
"570","CG35R1.10.1.1","Patients who were provided with information about lasting power of attorney","31","77","40.26","Audit standard only considered against those considered to be in a palliative phase

54% neurology
33% Elderly care","115","30-Nov-11"
"571","CG35R1.10.1.1","Patients who were provided with information about an end of life care plan","31","79","39.24","Audit standard only considered against those considered to be in a palliative phase

43% neurology
37% elderly care","115","30-Nov-11"
"572","CG35R1.9.3.1","Occupational therapy services who saw patients within 18 weeks of referral","","","93.00","Reasons for referral:
26.5% for improvement / maintenance of transfers / mobility
17.9% for improvement of self care activities
14.9% improve safety and motor function
0.9% maintenance of work role (despite this being a key part of OT role)","115","30-Nov-11"
"573","CG35R1.9.3.1","Occupational therapists who thought referral was timely","","","87.90","Average time to referral from diagnosis was 6 years","115","30-Nov-11"
"574","CG35R1.9.3.1","Services that have access to expert OT services","","","72.00","","115","30-Nov-11"
"576","CG35R1.9.2.1","Services that have access to expert physiotherapy","","","84.00","55% of these have universal access
45% have post-code dependent access

Reasons for referral to physiotherapy (may have more than one reason for referral so addas up to greater than 100%:
61% gait re-education, improvement of balance and flexibility
44% I","115","30-Nov-11"
"577","CG35R1.9.4.1","Patients who were seen within 18 week target time after referral to SALT","","","90.00","","115","30-Nov-11"
"578","CG35R1.9.4.1","Prportion of SALt teams wo saw PD patients who were PD specialists","","","61.00","Number of patients given interventions for:
73% Loudness
43% Pitch / range
42% Prosody
70% Intelligibility","115","30-Nov-11"
"579","CG35R1.9.4.1","Proportion of all patients with PD who were seen by SALT within the last year","","","39.00","","115","30-Nov-11"
"581","CG38R1.6.2.17","","","","0.00","","41",""
"586","CG68R1.2.4.1","Had surgery within 14 days of onset of symptoms that triggered referral","2471","4419","55.92","Notes:

Reasons for delay (there may be mopre than one reason per patient so total % >100)
delayed presentation	 27%
delay in referral	 	38%
	Delay in carotid imaging	 	10%
	delayed due to limited availability of surgeon	 	8%
	delayed due to lack of opera","120","30-Sep-12"
"587","CG121R1.3.32","Patient discussed at MDT (England + Wales)","","","95.80","","121","31-Dec-12"
"588","CG121R1.2.2","Seen by lung cancer nurse specialist (England and Wales)","","","82.30","","121","31-Dec-12"
"589","CG121R1.3.13","CT performed before bronchosopy (England and Wales)","","","89.60","","121","31-Dec-12"
"590","CG68R1.2.4.1","Assessed and referred for carotid endarterectomy within 7 days of onset of symptoms","3018","4342","69.51","","120","30-Sep-12"
"591","Invalid","Head and neck Cancer patients discussed at MDT","","","87.50","","124","31-Oct-12"
"592","Invalid","Head and neck Cancer patients discussed at MDT","","","90.60","","123","31-Oct-11"
"593","Invalid","Head and neck Cancer patients discussed at MDT","","","95.60","","122","31-Oct-12"
"594","IPG407R1.1","Procedures carried out as minimally invasive","171","1140","15.00","","125","31-Mar-12"
"595","IPG407R1.1","Procedures carried out as hybrid procedures","321","1140","28.16","","125","31-Mar-12"
"596","IPG206R1.1","Palliative patients who had photodynamic therapy","2","1493","0.13","This denominator has been calculated by subtracting he stomach cancer palliative endoscopic procedures from the totals on page 51 of the report)","125","31-Mar-12"
"597","IPG163R1.1","Patients having EVAR (as a proportion of total infra-renal AAA repair)","2734","4401","62.12","See also TA167 1.1. IPG229 refers to laparoscopic repair and it’s use is not recommended unless there are special arrangements in place","126","31-Dec-12"
"598","IPG163R1.1","Patients having EVAR (as a proportion of total infra-renal AAA repair)","2976","4515","65.91","See also TA167 1.1. IPG229 refers to laparoscopic repair and it’s use is not recommended unless there are special arrangements in place","126","31-Dec-11"
"599","IPG163R1.1","Patients having EVAR (as a proportion of total infra-renal AAA repair)","3002","4497","66.76","See also TA167 1.1. IPG229 refers to laparoscopic repair and it’s use is not recommended unless there are special arrangements in place","126","31-Dec-12"
